"ID","Question","Expected Answer","Baseline — Answer","Baseline — Score (3/2/1/0)","Baseline — Halucination","Baseline — Notes","Retrieval Needed"
"Q1","What happens after I am selected for an Erasmus+ exchange?","After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","Congratulations on your selection! After you are selected by the faculty (FRI) for an Erasmus+ exchange, here are the main steps you need to follow.

The process moves from the faculty level to the central University of Ljubljana level and then to the host university.

1.  **Official Nomination:** The International Office of the University of Ljubljana will officially inform (nominate) the partner university that you have been selected as an exchange student.

2.  **Application to the Host University:** After being nominated, you must complete the application process for the host university. They will usually contact you directly via email with instructions and deadlines. This is a separate application from the one you submitted to FRI, and it is your responsibility to complete it on time.

3.  **Letter of Acceptance:** Once the host university processes your application, they will send you an official Letter of Acceptance. This document is crucial for visas (if needed) and for completing the next steps.

4.  **Learning Agreement (LA):** This is a critical document that lists the courses you will take abroad. It must be signed by you, your departmental coordinator at FRI, and the coordinator at the host university **before** you leave. You will likely use the Online Learning Agreement (OLA) platform for this.

5.  **Grant Agreement:** You will need to sign a financial Grant Agreement with the University of Ljubljana to receive your Erasmus+ scholarship. The UL International Office will provide you with all the necessary documents and information for this.

6.  **Practical Arrangements:** You will also need to arrange your accommodation, travel, and ensure you have valid European Health Insurance Card (EHIC) and any additional insurance required.

In summary, your main tasks are to wait for instructions from the host university, complete their application, and prepare your Learning Agreement in coordination with FRI.

For the most detailed and official procedure, you should refer to the University of Ljubljana's main website, which outlines the steps for outgoing students: [UL Erasmus+ Study Mobility Page](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/study_mobility/).","3","False","Judge notes: The model provides a correct, detailed, and well-structured overview of the post-selection process, which is more comprehensive than the expected answer. | F1: 0.1905 | Key info hit: True | Time: 20.5s",""
"Q2","Who nominates me to the Erasmus+ partner university?","UL FRI nominates the selected student to the chosen Erasmus+ partner institution.","After you have been successfully selected for an exchange by the Erasmus+ Committee at the Faculty of Computer and Information Science (FRI), the central **International Office of the University of Ljubljana** will officially nominate you to the partner university.

In short, the process is:
1.  You apply and are selected by your home faculty (UL FRI).
2.  The University of Ljubljana's central office then formally nominates you to the host university.","0","True","Judge notes: The model incorrectly states that the central university office handles the nomination, when in fact the faculty (UL FRI) does. | F1: 0.2 | Key info hit: True | Time: 15.96s",""
"Q3","Do I still need to apply to the host university after UL FRI nominates me?","Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, absolutely.

After UL FRI nominates you to the host university, you must still complete the application process for the host university itself.

Here's a simple breakdown of the process:

1.  **Nomination by UL FRI:** This is the internal step where our faculty officially informs the partner university that you have been selected as an exchange student.
2.  **Application to Host University:** After the nomination, you will usually receive an email with instructions, links, and deadlines directly from the host university (or from the UL FRI International Office forwarding their instructions). You must follow their specific procedure and submit all required documents to them.

In short, the nomination from UL FRI does not automatically enroll you. It only gives you permission to apply to the host university as an official exchange candidate.","3","False","Judge notes: The model provides a correct and comprehensive answer that fully aligns with the expected information and explains the process clearly. | F1: 0.2087 | Key info hit: True | Time: 12.51s",""
"Q4","What documents does the host institution application usually include?","It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","Of course. After you have been successfully nominated by UL FRI for an exchange, you will need to complete a separate application for the host institution.

Based on the information for outgoing students on the UL FRI website, the application to the host institution typically includes the following documents:

*   **Application Form:** The official application form provided by the host university.
*   **Learning Agreement (OLA):** A crucial document outlining the courses you plan to take abroad, which must be approved by you, UL FRI, and the host institution.
*   **Transcript of Records:** An official list of your completed courses and grades from UL FRI, issued in English.
*   **Proof of Language Proficiency:** A certificate confirming your language skills (e.g., TOEFL, IELTS, or a certificate from the university's language centre), if required by the host institution.
*   **Copy of ID Card or Passport:** A valid personal identification document.
*   **Accommodation Form:** If you wish to apply for student housing provided by the host institution.

**Important:** The exact list of required documents and deadlines can vary significantly between universities. You must carefully read the instructions sent to you by the host institution after your nomination.

You can find this information on the UL FRI website under the ""Before Mobility"" section for outgoing students.","3","False","Judge notes: The model provides a correct and more comprehensive list of required documents than the expected answer, including important context and a disclaimer. | F1: 0.1449 | Key info hit: True | Time: 15.92s",""
"Q5","What is the Learning Agreement?","The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.","Based on the information for exchange students at the University of Ljubljana, here is an explanation of the Learning Agreement:

The **Learning Agreement** is a crucial formal document for your Erasmus exchange. It is essentially a contract between you, your home university, and the host university (in this case, the University of Ljubljana).

Its main purposes are:

1.  **To list the courses** you plan to take at UL FRI during your exchange.
2.  **To ensure** that these courses will be formally recognized by your home university upon your successful completion.
3.  **To confirm** that all three parties (you, your home coordinator, and the UL FRI coordinator) agree on your study plan.

This agreement must be prepared and signed by all three parties **before** your exchange period begins. The University of Ljubljana uses the **Online Learning Agreement (OLA)** platform for this process.","3","False","Judge notes: The model answer correctly defines the Learning Agreement and adds helpful, accurate details about the process and parties involved. | F1: 0.2373 | Key info hit: True | Time: 12.82s",""
"Q6","Who has to approve the Learning Agreement?","The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","Based on the information for exchange students at UL FRI, the Learning Agreement is a three-party document that must be approved and signed by:

1.  **You, the student.**
2.  The coordinator at your **home university**.
3.  The coordinator at the **host university (UL FRI)**.

At UL FRI, the approval process typically involves the **Departmental Erasmus Coordinator**, who must confirm your chosen courses are appropriate. The final signature may then be provided by the faculty's main Institutional Erasmus Coordinator.

You can find the list of departmental coordinators on the FRI website under the International Exchange section.","3","False","Judge notes: The answer correctly identifies the three required parties and adds helpful, specific details about the host institution's internal process. | F1: 0.26 | Key info hit: True | Time: 14.69s",""
"Q7","When should the Learning Agreement be prepared?","The Learning Agreement should be prepared and approved before the start of mobility.","Based on the information from the University of Ljubljana, the Learning Agreement must be prepared **before the application deadline**, as it is a required part of your application package.

The application deadlines are:
*   **May 15** for the winter semester or the full academic year.
*   **November 15** for the summer semester.

You must have your Learning Agreement completed and signed by both yourself and your home university coordinator before you upload it to the online application system.","3","False","Judge notes: The model correctly provides a specific institutional example (University of Ljubljana) which is a valid and more detailed way to answer the general question. | F1: 0.2424 | Key info hit: True | Time: 13.79s",""
"Q8","What is OLA?","OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.","Of course, I can help with that.

**OLA** stands for **Online Learning Agreement**.

It is a digital tool used to prepare, sign, and manage your Learning Agreement for your Erasmus+ exchange. The Learning Agreement is a crucial document that lists the courses you will take at your host university and how they will be recognized by UL FRI upon your return.

The OLA system replaces the old paper-based forms, making the process faster and more efficient. It allows for digital signatures from you, your coordinator at UL FRI, and the coordinator at your host university.

According to the UL FRI website, students prepare their Learning Agreement using the OLA system before their mobility period begins.

You can find more information under the ""Before the mobility"" section on the FRI Erasmus+ study exchange page: [https://www.fri.uni-lj.si/en/international-office/erasmus-study-exchange](https://www.fri.uni-lj.si/en/international-office/erasmus-study-exchange)","3","False","Judge notes: The model correctly defines OLA and provides a comprehensive, institution-specific explanation with a valid source link, exceeding the expected answer's detail. | F1: 0.2727 | Key info hit: True | Time: 13.24s",""
"Q9","What should I do if the host university does not support OLA?","If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If your host university does not support the Online Learning Agreement (OLA), you should use the paper version of the Learning Agreement form.

According to the information provided for outgoing exchange students at UL FRI, the procedure is as follows:

1.  **Download the Form:** You can find the paper version of the ""Learning Agreement for Studies"" on the central University of Ljubljana website under the Erasmus+ documents section.
2.  **Fill it Out:** Complete the form with your personal details and the courses you plan to take at the host university.
3.  **Get the Signatures:** You will need to collect three signatures on this paper document:
    *   Your signature.
    *   The signature of your departmental coordinator at UL FRI.
    *   The signature of the coordinator at your host university.

You should manage the process of sending the document to the relevant parties for their signatures, usually via email.

For any specific questions about the process, it is best to contact the **UL FRI International Office** at **international.office@fri.uni-lj.si**.","3","False","Judge notes: The model correctly identifies the paper-based alternative to OLA and provides a complete, detailed, and accurate procedure for a specific, relevant institution (UL FRI). | F1: 0.189 | Key info hit: True | Time: 16.77s",""
"Q10","What information should I include when choosing courses in the Learning Agreement?","The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.","Of course! Here is the information you should include for each course in your Learning Agreement when coming to UL FRI.

Based on the information for incoming exchange students, for each course you choose, you must include the following three key pieces of information:

*   **Course Code:** The unique identification code for the course (e.g., 63203).
*   **Course Title:** The full name of the course in English (e.g., Introduction to Programming 1).
*   **ECTS Credits:** The number of ECTS credits the course is worth.

You can find the official list of courses offered in English, along with their codes and ECTS values, on the FRI website. It is crucial to use the information from this list:

*   **List of Courses for Exchange Students at UL FRI**

**Key things to keep in mind:**

1.  **Workload:** A full-time workload for one semester is typically 30 ECTS credits.
2.  **Study Cycle:** Make sure you choose courses from the correct study level (1st cycle for Bachelor's, 2nd cycle for Master's).
3.  **Flexibility:** Don't worry if your initial plan changes. You will be able to make adjustments to your course selection in the ""Changes to the Learning Agreement"" form after you arrive in Ljubljana.

If you have any specific questions about course content or suitability, it is best to contact the **FRI International Office**.","3","False","Judge notes: The model provides a correct and detailed answer, using a specific university as an example, which is more helpful and complete than the expected answer. | F1: 0.1446 | Key info hit: True | Time: 15.6s",""
