id,question,expected,avg_F1,sd_F1,min_F1,max_F1,observations
Q77,What is the FRI Erasmus contact email?,The FRI Erasmus contact email is erasmus@fri.uni-lj.si.,0.9290042857142856,0.09578833010479418,0.6132,0.983,70
Q12,How many ECTS do I need for a full-year Erasmus+ study exchange?,"For a full academic year exchange, the student must complete at least 40 ECTS credits abroad and have them recognized at the home institution.",0.9182957142857142,0.11927449092016701,0.5754,0.9917,70
Q56,What counts as the last day of Erasmus+ mobility?,"The last day is the final day the student must be present at the host institution, such as the last lecture or exam. It is not necessarily the day of departure.",0.9088228571428572,0.12921577748533158,0.5394,0.9888,70
Q55,What counts as the first day of Erasmus+ mobility?,"The first day is the first day the student must be present at the host institution, such as the first lecture, welcome event, or language/intercultural course included in the Learning Agreement. It is not necessarily the day of arrival.",0.8916057142857142,0.12220601266750786,0.5411,0.9908,70
Q50,How long must an Erasmus+ exchange last?,"An Erasmus+ exchange must last at least 2 full months, or 60 days.",0.8809228571428571,0.1434032281602855,0.4765,0.9917,70
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.",0.8776214285714286,0.10810804967127431,0.5781,0.9681,70
Q144,How long is the mobility duration for Charles University in Prague?,The mobility duration for Charles University in Prague is 9 months per student.,0.8712085714285714,0.12987234617992177,0.5399,1.0,70
Q92,Can UL FRI students do Erasmus+ traineeships?,Yes. UL FRI students may complete practical traineeships within the Erasmus+ programme.,0.8689257142857142,0.16685438126277616,0.4349,0.9879,70
Q32,How is the Erasmus+ scholarship paid?,"The first payment includes 80% of the basic Erasmus+ financial support, 80% of the additional grant for students with fewer opportunities if applicable, and 80% of standard travel support. The remaining funds are paid after successful completion of mobility.",0.8649985714285714,0.13215531649952264,0.4856,0.9862,70
Q158,How long can one Erasmus+ traineeship last?,Each traineeship must last at least 2 months and at most 6 months.,0.8547157142857144,0.1358752717002889,0.4518,0.9758,70
Q199,Can exchange students write a thesis at Reykjavík University?,Reykjavík University states that thesis work may not be available to exchange students unless a special thesis collaboration agreement exists.,0.8528214285714285,0.15465024859092197,0.4313,1.0,70
Q30,How do I sign the Erasmus+ Grant Agreement?,The agreement normally has to be signed using a qualified digital signature and uploaded back into the Erasmus+ application at least 10 days before departure.,0.8466885714285715,0.13798724845818197,0.4415,0.9671,70
Q40,What if my name is not on the document proving eligibility for the fewer opportunities grant?,"If the student’s name is not listed on the decision or document, they must attach proof that they live in the same household as the person named in the document.",0.84585,0.1505395020141446,0.4324,0.9823,70
Q27,What if I cannot get the host coordinator’s signature on the Learning Agreement before the application deadline?,The student may temporarily upload a Learning Agreement signed only by the student and the home coordinator. The fully signed Learning Agreement must then be uploaded within 15 days after the start of mobility.,0.84371,0.12379570612534356,0.5043,0.9726,70
Q161,Do I keep my Slovenian student grants or loans while abroad?,"According to the Erasmus Student Charter, students are entitled to continue receiving the same student grants or loans from their sending country while abroad.",0.8313728571428571,0.11987209357396485,0.4833,0.9563,70
Q60,What should I be careful about when searching for accommodation?,Students should be cautious because online accommodation scams are common. They should not transfer money in advance without verified information and without properly checking the accommodation.,0.8309628571428571,0.1500012088564125,0.4252,0.9806,70
Q28,Can Erasmus+ payments be made to any bank account?,No. Payments can only be made to bank accounts opened in the Republic of Slovenia.,0.8278628571428571,0.14377048352755656,0.4758,0.9922,70
Q93,What is the eligible period for the 2025/26 Erasmus+ traineeship call?,The eligible period is from 1 October 2025 to 30 September 2026.,0.8257428571428571,0.14027528894060634,0.4696,0.9739,70
Q89,What is the eligible period for the UL FRI short-term doctoral mobility call?,"The eligible period is from 1 June 2026 to 30 June 2027, or until available funding is exhausted.",0.82526,0.12562591050935445,0.4456,0.97,70
Q48,Can I get funding for extra travel days if I travel green?,Yes. Students using green travel may request funding for up to 6 additional travel days if needed: up to 3 days for departure and up to 3 days for return.,0.8251,0.11927474434129444,0.4702,0.9646,70
Q80,What residence rights do EU citizens have as students in another EU country?,"EU citizens generally have the right to live in another EU country for the duration of their studies if they are enrolled at an approved educational institution, have sufficient financial resources, and have comprehensive health insurance.",0.8248642857142857,0.10715215652535005,0.5266,0.956,70
Q37,Can students with fewer opportunities receive extra Erasmus+ funding?,Yes. Eligible students with fewer opportunities may receive an additional grant of 250 EUR per month if they meet the criteria and upload the required supporting documents when submitting the financial support application.,0.8176628571428571,0.10401285479561129,0.5311,0.9487,70
Q43,What is the Erasmus+ travel support for 100–499 km?,"For 100–499 km, non-green travel support is 211 EUR and green travel support is 285 EUR.",0.810532857142857,0.13012643875931668,0.4491,0.979,70
Q141,What is the Erasmus code for Charles University in Prague?,The Erasmus code for Charles University in Prague – Faculty of Mathematics and Physics is CZ PRAHA07.,0.8052442857142857,0.12875251806820195,0.4864,0.9849,70
Q47,How do I prove green travel?,"The student must provide appropriate documents such as tickets showing the travel date and route, receipts, and a declaration of honor. The travel dates must match the mobility dates confirmed in the certificate of duration.",0.8011242857142857,0.12730454576593406,0.4386,0.9579,70
