id,question,expected,gemini_answer,bert_P,bert_R,bert_F1
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","Hello! Congratulations on being selected for an Erasmus+ exchange. Here are the next steps you need to take.

After being selected by the faculty (FRI), the process moves from the faculty level to the university level and involves coordination with your host university.

Here is a general overview of what happens next:

1.  **Official Nomination:** The International Office at FRI will officially nominate you to the partner (host) university. This means they will formally inform the host university that you have been selected to study there.

2.  **Application to the Host University:** This is a crucial step. You must complete a separate application for the host university. They will usually contact you directly with instructions, forms, and deadlines after they receive your nomination. **Pay close attention to their deadlines, as they are strict.**

3.  **Learning Agreement (LA):** This is one of the most important documents. It is an agreement between you, the FRI Erasmus coordinator, and the host university's coordinator on the courses you will take abroad.
    *   You must choose courses at the host university that can be recognised as part of your study programme at FRI.
    *   You will need to prepare the ""Before the Mobility"" section of the LA and get it signed by all three parties before you leave.

4.  **Grant Agreement:** You will sign a Grant Agreement with the University of Ljubljana. This is the financial contract for your Erasmus+ scholarship. The UL International Office will provide you with this document and instructions.

5.  **Online Linguistic Support (OLS):** You will likely be required to take an online language assessment in the language of instruction of your host country before your exchange begins.

6.  **Practical Arrangements:** You are responsible for arranging your own:
    *   **Accommodation:** Start looking for housing as soon as you receive your acceptance letter from the host university.
    *   **Travel:** Book your flights or other transportation.
    *   **Insurance:** Ensure you have a valid European Health Insurance Card (EHIC) and consider getting additional private insurance.

For the most detailed and official procedures, you should always refer to the University of Ljubljana's main website for outgoing exchange students.

**Key resource:** **University of Ljubljana - Erasmus+ Study Exchange Procedure**
[https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/study_exchange/](https://www.uni-lj.si/international_cooperation_and_exchange/erasmus_plus_programme/study_exchange/)

Be sure to check your email regularly for instructions from both the University of Ljubljana and your host university. Good luck with your preparations",0.4621,0.6797,0.5502
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,"After you have been successfully selected for an exchange spot through the internal application process at the Faculty of Computer and Information Science (FRI), the **UL FRI International Office** will officially nominate you to the partner university.

You do not need to take any action for the nomination itself. The office will handle this step. Once you are nominated, you will receive further instructions directly from the partner university on how to complete their application process for incoming exchange students.",0.4691,0.6373,0.5404
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, absolutely. After UL FRI nominates you, you must still complete a separate application for the host university.

Here is a simple breakdown of the process:

1.  **Nomination:** This is the internal process where UL FRI officially informs your chosen host university that you have been selected as an exchange student.
2.  **Application:** After the nomination, the host university will usually contact you directly (or UL FRI will forward you the information) with instructions on how to complete their own application form. This is where you will formally apply to them, submit your Learning Agreement, transcript of records, and other required documents.

Think of the nomination as UL FRI giving you a ""ticket"" to apply, and the application as you using that ticket to get your ""seat"" at the host university.

**Key takeaway:** Pay close attention to your email after being nominated. The host university will have its own deadlines and procedures that you must follow carefully.",0.5173,0.7451,0.6106
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","Of course! After you have been successfully nominated by UL FRI for an Erasmus+ exchange, you will need to complete a separate application for the host institution.

While the exact requirements vary from university to university, the application package for the host institution typically includes the following documents:

*   **Application Form:** The host institution's own online or paper application form.
*   **Learning Agreement (LA):** A crucial document listing the courses you plan to take at the host institution. It must be signed by you, the coordinator at UL FRI, and the coordinator at the host institution.
*   **Transcript of Records (ToR):** An official list of all the courses you have completed at UL FRI so far, along with your grades, usually issued in English.
*   **Proof of Language Proficiency:** A certificate proving your language skills in the language of instruction (e.g., TOEFL, IELTS, or a certificate from the University of Ljubljana's language centre).
*   **Copy of your Passport or ID Card.**
*   **Motivation Letter:** Some universities may ask for a letter explaining why you want to study there.
*   **Accommodation Form:** Often, the application for student housing is part of the main application process.

**Important:** Always check the website of your specific host university for their exact list of required documents and deadlines. They will usually send you detailed instructions after you have been nominated by us.",0.4381,0.7063,0.5408
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"Based on the information available from the University of Ljubljana and the Faculty of Computer and Information Science (FRI), here is an explanation of the Learning Agreement:

The **Learning Agreement (LA)** is a crucial document for your Erasmus exchange. It is a formal contract between you (the student), your home university, and the host university (in this case, UL FRI).

Its main purposes are:

1.  **To list the courses** you plan to take at UL FRI.
2.  **To guarantee** that the courses you successfully complete at UL FRI will be recognized by your home university and count towards your degree.

The process is typically handled through the **Online Learning Agreement (OLA)** system and involves three key stages:

*   **Before the Mobility:** You must select your courses, fill out the Learning Agreement, and have it digitally signed by yourself, your coordinator at your home university, and the international coordinator at UL FRI. This must be completed *before* you arrive.
*   **During the Mobility:** If you need to change any courses after you arrive (e.g., due to timetable clashes or a course not being suitable), you must fill out the ""Changes to the Learning Agreement"" section. These changes must also be approved by all three parties, usually within the first few weeks of the semester.
*   **After the Mobility:** The Learning Agreement is used to ensure the courses listed on your final Transcript of Records from UL FRI match what was agreed upon, allowing for a smooth transfer of your credits back to your home university.

In short, it is the most important academic document for your exchange, ensuring transparency and recognition of your studies abroad.

For more details, you can refer to the application procedure section on the UL FRI website for incoming students.",0.4481,0.6613,0.5342
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","Based on the standard Erasmus+ procedure, the Learning Agreement is a three-party document that must be approved and signed by:

1.  **You, the student.**
2.  **The responsible person at your home institution (UL FRI).** This is typically the faculty's Erasmus coordinator.
3.  **The responsible person at your host institution.** This is the Erasmus or departmental coordinator at the university you are visiting.

All three signatures are required for the Learning Agreement to be valid before your exchange period begins.",0.5394,0.6675,0.5967
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,"Based on the Erasmus+ procedures at the University of Ljubljana, the Learning Agreement should be prepared **before your mobility begins**.

Specifically, it is a key part of your application process after you have been selected for an exchange. The timeline is generally as follows:

1.  You apply for and are nominated for an exchange at a partner university.
2.  You then prepare the **Learning Agreement (LA)**, where you list the courses you plan to take at the host institution.
3.  This document must be reviewed and signed by you, your Erasmus coordinator at UL FRI, and the coordinator at your host university.

This entire process must be completed **before you leave for your exchange semester**.",0.4335,0.7245,0.5425
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,"OLA stands for **Online Learning Agreement**.

It is a crucial digital document for your Erasmus+ exchange. The OLA is a formal agreement between you (the student), your home university (University of Ljubljana), and your host university.

Its main purpose is to list the courses you plan to take at the host institution. This ensures that the credits you earn abroad will be recognized by UL FRI upon your return.

The OLA replaces the traditional paper-based Learning Agreement, making the process of creating, signing, and amending your study plan much faster and more transparent. You will manage it through an online platform or the Erasmus+ App.",0.5659,0.756,0.6472
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If your host university does not support the Online Learning Agreement (OLA), you should use the paper/PDF version of the Learning Agreement for Studies.

Here is the standard procedure:

1.  **Download the Form:** You can usually find the Word/PDF template for the Learning Agreement on the UL FRI website under the Erasmus+ section for outgoing students.
2.  **Fill it Out:** Complete the form with your personal data and the list of courses you plan to take at the host university.
3.  **Sign the Document:** Sign the document yourself.
4.  **Get the FRI Signature:** Send the partially signed document to your departmental Erasmus coordinator at UL FRI to be signed as the ""Sending Institution.""
5.  **Get the Host University Signature:** Forward the document, now signed by you and FRI, to the coordinator at your host university for their signature as the ""Receiving Institution.""
6.  **Finalize:** Once you have the document with all three signatures (yours, FRI's, and the host's), your Learning Agreement is complete. Make sure to keep a copy for your records and upload it to the required UL systems (like STUDIS) as instructed.

For any specific questions or to get the correct form, please contact the **UL FRI International Office** at **international.office@fri.uni-lj.si**.",0.4434,0.7038,0.5441
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.","Of course! When choosing courses for your Learning Agreement at UL FRI, you need to include the following specific information for each course to ensure it is processed correctly.

For each course you select, you must include:

*   **Course Code:** The unique identification number for the course (e.g., `63XXX`).
*   **Course Title:** The full and exact name of the course in English, as listed on the faculty website.
*   **Number of ECTS Credits:** The credit value of the course. Most courses at UL FRI are worth 6 ECTS.
*   **Semester:** Indicate whether the course is in the Winter (Semester 1) or Summer (Semester 2) semester.

**Where to find this information:**

You can find the official list of courses offered in English, along with all the required details, on the UL FRI website for exchange students:
[**Courses for Exchange Students at UL FRI**](https://www.fri.uni-lj.si/en/education/exchange-students/courses)

**Important Tip:**
Always use the information directly from this official list to avoid any errors or delays in the approval of your Learning Agreement. It is also crucial to discuss your course selection with the Erasmus coordinator at your home university.",0.44,0.6414,0.5219
