id,question,expected,model_prediction,bert_P,bert_R,bert_F1
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After a student is selected for an Erasmus+ study exchange, the home faculty or academy nominates the student to the partner institution abroad. Some students may be nominated immediately, while others may be nominated later.",0.8031,0.7795,0.7911
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,Your home faculty or academy nominates you.,0.7452,0.707,0.7256
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you must apply to the host institution. The host university will send instructions with required documents and deadlines.",0.8685,0.8068,0.8365
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

*   Application Form
*   Learning Agreement (LA)
*   Accommodation Form or housing information",0.787,0.7993,0.7931
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is designed to prepare your study period abroad and ensure you receive credit for educational components completed while studying abroad. It’s an agreement between the sending institution, the student, and the receiving institution.",0.7678,0.7737,0.7707
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.9657,0.9523,0.959
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,The Learning Agreement should be prepared well in advance of your study period abroad. It’s intended to be a transparent preparation tool for your time studying internationally.,0.7646,0.8464,0.8034
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,OLA stands for Online Learning Agreement. Students can complete it online through the Erasmus+ financial support application if their host institution supports it.,0.8554,0.8429,0.8491
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host institution does not support digital signing of the OLA, you may use a Word/PDF Learning Agreement form instead.",0.9301,0.8671,0.8975
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.",The Learning Agreement must include all the educational components to be carried out by the student at the Receiving Institution (in Table A) and it must contain as well the group of educational components to be carried out at the Sending Institution.,0.7181,0.7378,0.7278
