id,question,expected,model_prediction,f1,has_key_info,gemini_score,gemini_assessment,gemini_explanation,time_s
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After a student is selected for an Erasmus+ study exchange, the home faculty or academy nominates the student to the partner institution abroad. Some students may be nominated immediately, while others may be nominated later.",0.3385,True,60,PARTIALLY_CORRECT,"The model correctly identifies the first step of nomination but omits the crucial subsequent steps, such as receiving application instructions from the host institution and applying for financial aid.",10.41
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,Your home faculty or academy nominates you.,0.1111,True,100,CORRECT,The model provides a correct and more generalized answer which is a valid equivalent to the specific example in the expected answer.,10.37
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you must apply to the host institution. The host university will send instructions with required documents and deadlines.",0.2927,True,100,CORRECT,"The model answer correctly confirms that a separate application is necessary and includes all key details from the expected answer, such as receiving instructions, documents, and deadlines from the host university.",9.2
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

*   Application Form
*   Learning Agreement (LA)
*   Accommodation Form or housing information",0.4571,True,100,CORRECT,The model answer correctly identifies all the documents listed in the expected answer.,8.05
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is designed to prepare your study period abroad and ensure you receive credit for educational components completed while studying abroad. It’s an agreement between the sending institution, the student, and the receiving institution.",0.2069,True,100,CORRECT,"The model answer correctly explains the purpose of the Learning Agreement and provides the additional, accurate detail that it is an agreement between the student and both institutions.",9.7
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.8571,True,100,CORRECT,The model answer correctly identifies all the required parties for approval and provides a valid equivalent to the expected answer.,9.66
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,The Learning Agreement should be prepared well in advance of your study period abroad. It’s intended to be a transparent preparation tool for your time studying internationally.,0.3784,True,100,CORRECT,"The model answer correctly states that the Learning Agreement must be prepared before the study abroad period, which is a valid equivalent to the expected answer. The additional context provided is relevant and helpful.",8.67
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,OLA stands for Online Learning Agreement. Students can complete it online through the Erasmus+ financial support application if their host institution supports it.,0.5455,True,85,PARTIALLY_CORRECT,"The model correctly identifies the acronym and its connection to Erasmus+. However, it does not explicitly state that OLA is the digital version of the Learning Agreement for study mobility, which is a key part of the definition.",10.87
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host institution does not support digital signing of the OLA, you may use a Word/PDF Learning Agreement form instead.",0.7111,True,70,PARTIALLY_CORRECT,The model correctly identifies the Word/PDF form as an alternative but omits the other option of using the FRI platform.,9.64
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.",The Learning Agreement must include all the educational components to be carried out by the student at the Receiving Institution (in Table A) and it must contain as well the group of educational components to be carried out at the Sending Institution.,0.2143,False,60,PARTIALLY_CORRECT,"The model answer is too general, as it only mentions including the ""educational components."" It omits the specific, crucial details required, such as ECTS credits and links to course descriptions for evaluation.",9.96
Q11,How many ECTS do I need for one semester of Erasmus+ study exchange?,"For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.","For one semester of Erasmus+ study exchange, you must complete at least 20 ECTS credits abroad and have them recognized at your home institution.",0.6809,True,95,CORRECT,The model answer correctly states the minimum ECTS requirement and the need for recognition. It only omits the minor detail that this is a condition for receiving Erasmus+ funding.,11.52
Q12,How many ECTS do I need for a full-year Erasmus+ study exchange?,"For a full academic year exchange, the student must complete at least 40 ECTS credits abroad and have them recognized at the home institution.","For a full academic year exchange, you must complete at least 40 ECTS credits abroad and have them recognized at your home institution.",0.9091,True,100,CORRECT,"The model answer provides the exact same information as the expected answer. The change from ""the student"" to ""you"" is an appropriate personalization for a chatbot.",8.32
Q13,What happens if I obtain fewer than 20 ECTS during one semester abroad?,"If the student obtains fewer than 20 ECTS during the exchange, Erasmus+ financial support may be limited to 3 months. Recognition of completed obligations depends on the content and how it matches the student’s study programme at FRI.","If a student goes abroad mainly to prepare a final thesis, or obtains fewer than 20 ECTS credits during the exchange, Erasmus+ financial support is limited to 3 months.",0.5484,True,65,PARTIALLY_CORRECT,The model correctly identifies the consequence for financial support but omits the key information about how the recognition of completed obligations is handled.,8.38
Q14,Can I take language courses during Erasmus+?,"Yes. According to the UL FRI guidance, language courses may be included as general elective courses, if accepted through the Learning Agreement process.","Yes, you are invited to make use of the Online Language Support (OLS) designed for Erasmus+ participants. Level B2 or higher is required for the initial language assessment. You can follow an OLS language course either in your main language of instruction or the local language of the host country if available. More information about OLS courses can be found at http://erasmusplusols.eu.",0.1714,False,40,INCORRECT,"The model's answer is on-topic but provides information about the supplementary Online Language Support (OLS) program, not about taking formal university courses for credit as part of the Learning Agreement.",13.11
Q15,Can I complete mandatory FRI courses remotely while I am on Erasmus+?,No. Mandatory FRI courses that the student should complete at FRI cannot be completed remotely during the Erasmus+ exchange.,I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.1622,False,20,INCORRECT,"The model failed to answer the question and instead provided a generic fallback response, directing the user to other resources.",11.12
Q16,Can I take an elective course abroad?,"Yes. For FRI elective courses, the student can usually choose a course abroad from the field of computer and information science, subject to coordinator approval through the Learning Agreement.","Yes, you can take an elective course as long as it’s CS-related.",0.1579,False,65,PARTIALLY_CORRECT,The model correctly confirms that the course must be CS-related but omits the critical information about needing coordinator approval via a Learning Agreement.,9.9
Q17,Can I replace a mandatory FRI course with a course abroad?,"Yes, but only if the course abroad is sufficiently equivalent in content. If no equivalent course exists, another elective may be chosen instead, depending on approval.",This must be confirmed through the Learning Agreement process and approved by the UL FRI coordinator.,0.1053,False,75,PARTIALLY_CORRECT,"The model answer correctly identifies the required approval process and responsible party, but it fails to mention the key criteria for approval, which is that the course abroad must be equivalent in content.",11.42
