id,question,expected,model_prediction,f1,has_key_info,gemini_score,gemini_assessment,gemini_explanation,time_s
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After you are selected for an Erasmus+ exchange, your home faculty or academy will nominate you to the partner institution abroad. This nomination may happen immediately or later.",0.2903,True,60,PARTIALLY_CORRECT,"The model correctly states that the home faculty nominates the student, but it omits the crucial next steps of receiving instructions from the host institution and applying for financial aid.",8.88
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,Your home faculty or academy nominates you to the partner institution abroad after you are selected for an Erasmus+ study exchange.,0.3871,True,100,CORRECT,"The model correctly identifies that the student's home faculty is responsible for the nomination. The phrase ""Your home faculty or academy"" is a valid and more general equivalent of the specific ""UL FRI"" mentioned in the expected answer.",10.92
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you still need to apply to the host university after UL FRI nominates you. The host institution will send you instructions on how to apply, which typically include required documents, deadlines, and accommodation information. You should carefully follow these instructions and submit all necessary documents by the host institution's deadline.",0.3077,True,100,CORRECT,"The model answer correctly confirms that a separate application to the host university is required after nomination. It accurately includes all key details from the expected answer, such as following the host's instructions and respecting their deadlines.",8.0
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

1. Application Form: personal information and exchange details.
2. Learning Agreement (LA): planned courses or academic obligations abroad and the courses or obligations that will be recognized at the home faculty after return.
3. Accommodation Form or housing information, if provided by the host institution.",0.3607,True,100,CORRECT,The model answer correctly identifies all the documents listed in the expected answer and provides helpful additional details for each one.,8.46
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is an agreement between the student, the home university, and the host institution (in this case, the Sending Institution and the Receiving Institution) that outlines the educational components the student will complete during their study period abroad and ensures that these components will be recognized as part of their degree.",0.4,True,100,CORRECT,"The model answer correctly defines the Learning Agreement's purpose and accurately includes the additional, crucial detail of the three parties involved in the agreement.",9.49
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.8571,True,100,CORRECT,The model answer correctly identifies all the required parties for approval and provides a valid equivalent to the expected answer.,10.15
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,"The Learning Agreement should be prepared before the start of the mobility period. It's recommended that the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator agree on it beforehand.",0.5,True,100,CORRECT,"The model answer contains all the information from the expected answer. It correctly states the agreement should be prepared before mobility and accurately elaborates on the ""approved"" aspect by mentioning the agreement between the student and coordinators.",7.82
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,"The Online Learning Agreement (OLA) is a document that students need to complete through the Erasmus+ financial support application, especially when the host institution supports its digital signing. It's also possible to use a Word/PDF Learning Agreement form if the host institution doesn't support digital signing.",0.4286,True,100,CORRECT,"The model answer correctly defines OLA and its use within the Erasmus+ program, providing the same core information as the expected answer. It also includes helpful, accurate context about the alternative process if digital signing is not supported.",9.95
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host university does not support the Online Learning Agreement (OLA), you can use a Word/PDF Learning Agreement form instead.",0.5116,True,70,PARTIALLY_CORRECT,"The model correctly identifies the Word/PDF form as an alternative but omits the other option mentioned in the expected answer, the FRI platform.",9.79
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.","According to the guidelines, you should include course descriptions (with links) in the Learning Agreement before it is submitted.",0.2667,True,60,PARTIALLY_CORRECT,"The model correctly states that course descriptions with links should be included, but it omits other crucial details mentioned in the expected answer, such as the specific courses, ECTS credits, and semester information.",8.8
Q11,How many ECTS do I need for one semester of Erasmus+ study exchange?,"For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.",At least 20 ECTS credits abroad.,0.3333,True,75,PARTIALLY_CORRECT,"The model correctly states the minimum number of ECTS credits, but it omits the important conditions that these credits must be recognized at the home institution and that this is a requirement for Erasmus+ funding.",10.34
