id,question,expected,model_prediction,bert_P,bert_R,bert_F1
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After a student is selected for an Erasmus+ study exchange, the home faculty or academy nominates the student to the partner institution abroad. Some students may be nominated immediately, while others may be nominated later.",0.7567,0.7175,0.7366
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,Your home faculty or academy nominates you.,0.6874,0.6277,0.6562
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you must apply to the host institution. The host university will send instructions with required documents and deadlines.",0.8556,0.7956,0.8245
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

*   Application Form
*   Learning Agreement (LA)
*   Accommodation Form or housing information",0.7645,0.7736,0.769
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is designed to prepare your study period abroad and ensure you receive credit for educational components completed while studying abroad. It’s an agreement between the sending institution, the student, and the receiving institution.",0.7464,0.7586,0.7524
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.9183,0.9029,0.9105
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,The Learning Agreement should be prepared well in advance of your study period abroad. It’s intended to be a transparent preparation tool for your time studying internationally.,0.7245,0.7921,0.7568
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,OLA stands for Online Learning Agreement. Students can complete it online through the Erasmus+ financial support application if their host institution supports it.,0.852,0.8534,0.8527
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host institution does not support digital signing of the OLA, you may use a Word/PDF Learning Agreement form instead.",0.8874,0.8076,0.8456
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.",The Learning Agreement must include all the educational components to be carried out by the student at the Receiving Institution (in Table A) and it must contain as well the group of educational components to be carried out at the Sending Institution.,0.714,0.6976,0.7057
Q11,How many ECTS do I need for one semester of Erasmus+ study exchange?,"For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.","For one semester of Erasmus+ study exchange, you must complete at least 20 ECTS credits abroad and have them recognized at your home institution.",0.925,0.9015,0.9131
Q12,How many ECTS do I need for a full-year Erasmus+ study exchange?,"For a full academic year exchange, the student must complete at least 40 ECTS credits abroad and have them recognized at the home institution.","For a full academic year exchange, you must complete at least 40 ECTS credits abroad and have them recognized at your home institution.",0.9727,0.9649,0.9688
Q13,What happens if I obtain fewer than 20 ECTS during one semester abroad?,"If the student obtains fewer than 20 ECTS during the exchange, Erasmus+ financial support may be limited to 3 months. Recognition of completed obligations depends on the content and how it matches the student’s study programme at FRI.","If a student goes abroad mainly to prepare a final thesis, or obtains fewer than 20 ECTS credits during the exchange, Erasmus+ financial support is limited to 3 months.",0.8503,0.8059,0.8275
Q14,Can I take language courses during Erasmus+?,"Yes. According to the UL FRI guidance, language courses may be included as general elective courses, if accepted through the Learning Agreement process.","Yes, you are invited to make use of the Online Language Support (OLS) designed for Erasmus+ participants. Level B2 or higher is required for the initial language assessment. You can follow an OLS language course either in your main language of instruction or the local language of the host country if available. More information about OLS courses can be found at http://erasmusplusols.eu.",0.6201,0.6782,0.6479
Q15,Can I complete mandatory FRI courses remotely while I am on Erasmus+?,No. Mandatory FRI courses that the student should complete at FRI cannot be completed remotely during the Erasmus+ exchange.,I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.6257,0.6183,0.6219
Q16,Can I take an elective course abroad?,"Yes. For FRI elective courses, the student can usually choose a course abroad from the field of computer and information science, subject to coordinator approval through the Learning Agreement.","Yes, you can take an elective course as long as it’s CS-related.",0.7704,0.7,0.7335
Q17,Can I replace a mandatory FRI course with a course abroad?,"Yes, but only if the course abroad is sufficiently equivalent in content. If no equivalent course exists, another elective may be chosen instead, depending on approval.",This must be confirmed through the Learning Agreement process and approved by the UL FRI coordinator.,0.6495,0.6582,0.6538
Q18,Can I do my bachelor’s or master’s thesis abroad?,"Yes, but not at all institutions. The student needs a mentor at FRI and a mentor at the host institution, and the thesis work must be included in the Learning Agreement.","Possible but not at all institutions. A bachelor thesis counts for 6 ECTS, and a master thesis counts for 24 ECTS. You will need a mentor at both FRI and the host institution, and it must be included in your Learning Agreement.",0.7982,0.8654,0.8305
Q19,How many ECTS does thesis work count for in the Erasmus+ context?,"In the UL FRI guidance, bachelor thesis work is listed as 6 ECTS and master thesis work as 24 ECTS.","If a student goes abroad mainly to prepare a final thesis, or obtains fewer than 20 ECTS credits during the exchange, Erasmus+ financial support is limited to 3 months. The thesis/doctoral work and the associated workload in ECTS credits will be included in Table B, if relevant for the sending institution.",0.6522,0.6973,0.674
Q20,What is the Erasmus+ financial support application?,It is the University of Ljubljana online application through which selected students apply for Erasmus+ financial support and access or complete the Online Learning Agreement.,"The Erasmus+ financial support application is an online application available at https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp, which you use to access or complete the Online Learning Agreement (OLA).",0.6755,0.8055,0.7348
Q21,Where do I apply for Erasmus+ financial support?,Students apply through the University of Ljubljana online financial support application at: https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp,The online financial support application must be complete at least 10 working days before the start of mobility.,0.6775,0.5653,0.6163
Q22,When must my Erasmus+ financial support application be complete?,"The application must be complete at least 10 working days before the start of mobility, although final deadlines also apply depending on the exchange semester.",The online financial support application must be complete at least 10 working days before the start of mobility.,0.8862,0.7925,0.8367
Q23,What are the final deadlines for Erasmus+ financial support in 2026/27?,"For students going in the first semester or for the full academic year, the final deadline is 15 October 2026. For students going in the second semester, the final deadline is 15 March 2027. However, the application must still be complete at least 10 working days before mobility starts, so many students have an earlier practical deadline.","First semester or full academic year exchange: 15 October 2026.
Second semester exchange: 15 March 2027.",0.8053,0.6584,0.7245
Q24,"If my exchange starts on 1 September 2026, is 15 October still my deadline?","No. If the exchange starts on 1 September 2026, the application must be completed earlier, for example by 15 August 2026, because the complete application is required before the start of mobility.","Yes, 15 October 2026 is your deadline. The system recognizes students based on their original exchange application data, including the period for which they applied. If you later change the semester or shorten the exchange period, you may still need to select the original period during registration.",0.7041,0.7434,0.7232
Q25,What documents do I need for the Erasmus+ financial support application?,"The required documents include a Letter of Acceptance, Learning Agreement, copy or photo of a Slovenian bank card, certificate of enrollment for 2026/27, and supporting documents for additional grants if applicable. OLS language assessment results may also be uploaded if completed.",I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.6286,0.5891,0.6082
Q26,Can an email from the host university count as a Letter of Acceptance?,"Yes. The Letter of Acceptance may be an official letter, an email confirming acceptance, or a fully signed Learning Agreement, depending on the instructions.","Yes, an email confirming acceptance can count as a Letter of Acceptance.",0.8422,0.7426,0.7893
Q27,What if I cannot get the host coordinator’s signature on the Learning Agreement before the application deadline?,The student may temporarily upload a Learning Agreement signed only by the student and the home coordinator. The fully signed Learning Agreement must then be uploaded within 15 days after the start of mobility.,"If the host institution coordinator cannot sign the Learning Agreement before the application deadline, the student may temporarily upload a Learning Agreement signed only by the student and home coordinator. The fully signed Learning Agreement must then be uploaded within 15 days after the start of mobility.",0.8797,0.9282,0.9033
