id,question,expected,model_prediction,bert_P,bert_R,bert_F1
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After a student is selected for an Erasmus+ study exchange, the home faculty or academy nominates the student to the partner institution abroad. Some students may be nominated immediately, while others may be nominated later.",0.9055,0.8661,0.8854
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,The home faculty or academy nominates you to the partner institution abroad.,0.9024,0.8896,0.8959
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you need to apply to the host university. The host university will send you instructions, including required documents and deadlines. You must carefully follow their instructions and submit all necessary documents by their deadline.",0.9296,0.9257,0.9277
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

- Application Form: personal information and exchange details.
- Learning Agreement (LA): planned courses or academic obligations abroad and the courses or obligations that will be recognized at the home faculty after return.
- Accommodation Form or housing information, if provided by the host institution.",0.8653,0.9182,0.891
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is an agreement between the student, the home university, and the host institution. It defines which courses the student intends to take during the exchange and is used for later recognition at the home institution. Its purpose is to provide a transparent and efficient preparation of the study period abroad and to ensure that the student will receive recognition in his/her degree for the educational components successfully completed abroad.",0.8897,0.9264,0.9077
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.9666,0.9696,0.9681
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,"The Learning Agreement should be prepared during the first month after the start of the mobility. However, if the host institution coordinator can’t sign it beforehand, you can upload a version signed only by the student and home coordinator within 15 days of the start of mobility.",0.8667,0.9428,0.9031
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,"ONLINE LEARNING AGREEMENT (OLA) refers to a system where students complete the Learning Agreement online through the Erasmus+ financial support application. If the host institution supports OLA, they will send the OLA to the correct address abroad. If not, a Word/PDF Learning Agreement form can be used instead.",0.8551,0.8936,0.8739
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host institution does not support digital signing of the OLA, you may use a Word/PDF Learning Agreement form instead.",0.9644,0.9327,0.9483
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.","The Learning Agreement should include information concerning the qualifications offered, the learning, teaching, and assessment procedures, the level of programs, the individual educational components, and the learning resources. It needs to be aligned with the course catalogue and available to you. Also, remember to check course availability beforehand and confirm suitability with your home coordinator.",0.8678,0.8723,0.87
Q11,How many ECTS do I need for one semester of Erasmus+ study exchange?,"For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.","For one semester of Erasmus+ study exchange, you must complete at least 20 ECTS credits abroad and have them recognized at your home institution.",0.9615,0.9551,0.9583
Q12,How many ECTS do I need for a full-year Erasmus+ study exchange?,"For a full academic year exchange, the student must complete at least 40 ECTS credits abroad and have them recognized at the home institution.","For a full academic year exchange, you must complete at least 40 ECTS credits abroad and have them recognized at the home institution.",0.9938,0.9896,0.9917
Q13,What happens if I obtain fewer than 20 ECTS during one semester abroad?,"If the student obtains fewer than 20 ECTS during the exchange, Erasmus+ financial support may be limited to 3 months. Recognition of completed obligations depends on the content and how it matches the student’s study programme at FRI.","If a student goes abroad mainly to prepare a final thesis, or obtains fewer than 20 ECTS credits during the exchange, Erasmus+ financial support is limited to 3 months.",0.9278,0.9123,0.92
Q14,Can I take language courses during Erasmus+?,"Yes. According to the UL FRI guidance, language courses may be included as general elective courses, if accepted through the Learning Agreement process.","Yes, you are encouraged to use the Online Language Support (OLS) designed for Erasmus+ participants. Level B2 or higher is required for the OLS language course, which can be taken in your main language of instruction or the local language of the country if available. More details can be found at http://erasmusplusols.eu.",0.833,0.8604,0.8465
Q15,Can I complete mandatory FRI courses remotely while I am on Erasmus+?,No. Mandatory FRI courses that the student should complete at FRI cannot be completed remotely during the Erasmus+ exchange.,"No, mandatory courses must match content, and they cannot be completed remotely during the exchange.",0.9206,0.8988,0.9095
Q16,Can I take an elective course abroad?,"Yes. For FRI elective courses, the student can usually choose a course abroad from the field of computer and information science, subject to coordinator approval through the Learning Agreement.","Yes, you can take an elective course as long as it’s related to computer science.",0.906,0.8944,0.9002
