id,question,expected,model_prediction,bert_P,bert_R,bert_F1
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After a student is selected for an Erasmus+ study exchange, the home faculty or academy nominates the student to the partner institution abroad. Some students may be nominated immediately, while others may be nominated later.",0.9055,0.8661,0.8854
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,Your home faculty or academy nominates you.,0.887,0.8592,0.8729
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you must apply to the host institution. The host university will send instructions with required documents and deadlines.",0.938,0.9179,0.9278
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

*   Application Form
*   Learning Agreement (LA)
*   Accommodation Form or housing information",0.8084,0.8942,0.8492
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is designed to prepare your study period abroad and ensure you receive credit for educational components completed while studying abroad. It’s an agreement between the sending institution, the student, and the receiving institution.",0.8949,0.8998,0.8973
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.9666,0.9696,0.9681
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,The Learning Agreement should be prepared well in advance of your study period abroad. It’s intended to be a transparent preparation tool for your time studying internationally.,0.887,0.9255,0.9058
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,OLA stands for Online Learning Agreement. Students can complete it online through the Erasmus+ financial support application if their host institution supports it.,0.929,0.9278,0.9284
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host institution does not support digital signing of the OLA, you may use a Word/PDF Learning Agreement form instead.",0.9644,0.9327,0.9483
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.",The Learning Agreement must include all the educational components to be carried out by the student at the Receiving Institution (in Table A) and it must contain as well the group of educational components to be carried out at the Sending Institution.,0.8549,0.8561,0.8555
Q11,How many ECTS do I need for one semester of Erasmus+ study exchange?,"For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.","For one semester of Erasmus+ study exchange, you must complete at least 20 ECTS credits abroad and have them recognized at your home institution.",0.9615,0.9551,0.9583
Q12,How many ECTS do I need for a full-year Erasmus+ study exchange?,"For a full academic year exchange, the student must complete at least 40 ECTS credits abroad and have them recognized at the home institution.","For a full academic year exchange, you must complete at least 40 ECTS credits abroad and have them recognized at your home institution.",0.9898,0.9887,0.9892
Q13,What happens if I obtain fewer than 20 ECTS during one semester abroad?,"If the student obtains fewer than 20 ECTS during the exchange, Erasmus+ financial support may be limited to 3 months. Recognition of completed obligations depends on the content and how it matches the student’s study programme at FRI.","If a student goes abroad mainly to prepare a final thesis, or obtains fewer than 20 ECTS credits during the exchange, Erasmus+ financial support is limited to 3 months.",0.9278,0.9123,0.92
Q14,Can I take language courses during Erasmus+?,"Yes. According to the UL FRI guidance, language courses may be included as general elective courses, if accepted through the Learning Agreement process.","Yes, you are invited to make use of the Online Language Support (OLS) designed for Erasmus+ participants. Level B2 or higher is required for the initial language assessment. You can follow an OLS language course either in your main language of instruction or the local language of the host country if available. More information about OLS courses can be found at http://erasmusplusols.eu.",0.8339,0.8626,0.848
Q15,Can I complete mandatory FRI courses remotely while I am on Erasmus+?,No. Mandatory FRI courses that the student should complete at FRI cannot be completed remotely during the Erasmus+ exchange.,I don't have that information in my knowledge base. Please check the UL FRI website or contact the International Office directly.,0.8392,0.8529,0.846
Q16,Can I take an elective course abroad?,"Yes. For FRI elective courses, the student can usually choose a course abroad from the field of computer and information science, subject to coordinator approval through the Learning Agreement.","Yes, you can take an elective course as long as it’s CS-related.",0.8949,0.8797,0.8872
Q17,Can I replace a mandatory FRI course with a course abroad?,"Yes, but only if the course abroad is sufficiently equivalent in content. If no equivalent course exists, another elective may be chosen instead, depending on approval.",This must be confirmed through the Learning Agreement process and approved by the UL FRI coordinator.,0.8404,0.8384,0.8394
Q18,Can I do my bachelor’s or master’s thesis abroad?,"Yes, but not at all institutions. The student needs a mentor at FRI and a mentor at the host institution, and the thesis work must be included in the Learning Agreement.","Possible but not at all institutions. A bachelor thesis counts for 6 ECTS, and a master thesis counts for 24 ECTS. You will need a mentor at both FRI and the host institution, and it must be included in your Learning Agreement.",0.9179,0.9508,0.9341
Q19,How many ECTS does thesis work count for in the Erasmus+ context?,"In the UL FRI guidance, bachelor thesis work is listed as 6 ECTS and master thesis work as 24 ECTS.","If a student goes abroad mainly to prepare a final thesis, or obtains fewer than 20 ECTS credits during the exchange, Erasmus+ financial support is limited to 3 months. The thesis/doctoral work and the associated workload in ECTS credits will be included in Table B, if relevant for the sending institution.",0.8407,0.8732,0.8566
Q20,What is the Erasmus+ financial support application?,It is the University of Ljubljana online application through which selected students apply for Erasmus+ financial support and access or complete the Online Learning Agreement.,"The Erasmus+ financial support application is an online application available at https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp, which you use to access or complete the Online Learning Agreement (OLA).",0.8498,0.9026,0.8754
Q21,Where do I apply for Erasmus+ financial support?,Students apply through the University of Ljubljana online financial support application at: https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp,The online financial support application must be complete at least 10 working days before the start of mobility.,0.8606,0.7936,0.8257
Q22,When must my Erasmus+ financial support application be complete?,"The application must be complete at least 10 working days before the start of mobility, although final deadlines also apply depending on the exchange semester.",The online financial support application must be complete at least 10 working days before the start of mobility.,0.9536,0.9153,0.9341
