id,question,n_models,avg_score,min_score,n_correct,n_partial,n_incorrect,n_hallucinated
Q110,"I want to find an Erasmus+ exchange at a university focused on data science, analytics, or big data. Which institutions should I check?",5,15.0,0,0,0,2,3
Q157,Can my traineeship motivation letter be in Slovenian?,4,15.0,0,0,0,3,1
Q117,Which dormitory is the best for Erasmus students in Prague?,4,23.8,0,0,0,2,2
Q104,Are there Erasmus+ exchange opportunities in Paris?,5,24.0,10,0,0,4,1
Q35,What is the monthly Erasmus+ grant for Group 2 countries in 2026/27?,5,24.0,20,0,0,5,0
Q139,Does University of Padova accept Bachelor students from UL FRI?,4,25.0,0,0,1,1,2
Q100,Where can I go on Erasmus+ exchange as an undergraduate student?,5,25.0,0,0,1,3,1
Q185,Can I get Erasmus+ funding if I am writing my thesis abroad and not taking courses?,4,31.2,0,0,1,2,1
Q109,I want to find an Erasmus+ exchange at a university focused on software engineering and distributed systems. Which institutions should I check?,5,32.0,10,0,1,2,2
Q145,Which Italian partner university is available for only one Erasmus+ student?,4,32.5,10,0,1,2,1
Q187,Can I be charged for student union membership?,4,32.5,0,0,1,2,1
Q74,What must I do after Erasmus+ mobility?,5,34.0,0,1,0,3,1
Q94,What is the application deadline for Erasmus+ traineeship mobility?,5,34.0,10,0,1,3,1
Q75,When must I submit documents after returning from Erasmus+?,5,35.0,20,0,1,4,0
Q174,What should I do if I do not know the exact start and end dates of my exchange?,4,35.0,0,0,1,2,1
Q136,"If I complete 25 ECTS abroad, how many ECTS will be recognized at UL FRI?",4,35.0,0,1,0,1,2
Q25,What documents do I need for the Erasmus+ financial support application?,5,36.0,20,0,1,4,0
Q97,Which UL FRI Erasmus+ partner universities are listed in Germany?,5,36.0,15,0,2,2,1
Q66,Do Erasmus+ students have to pay tuition fees at the host university?,5,36.0,20,1,0,4,0
Q69,What duties do Erasmus+ students have during mobility?,5,36.0,10,1,0,3,1
