id,question,expected,model_prediction,f1,has_key_info,gemini_score,gemini_assessment,gemini_explanation,time_s
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After you are selected for an Erasmus+ exchange, your home faculty or academy will nominate you to the partner institution abroad. This nomination may happen either immediately or later.",0.2857,True,65,PARTIALLY_CORRECT,"The model correctly states the first step of the process, which is the nomination by the home faculty. However, it fails to mention the crucial subsequent steps for the student, such as receiving application instructions from the host institution and applying for financial aid.",11.49
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,Your home faculty or academy nominates you to the Erasmus+ partner institution abroad.,0.4167,True,100,CORRECT,The model correctly identifies the student's home faculty as the nominating body. This is a valid and more general equivalent to the specific faculty 'UL FRI' mentioned in the expected answer.,11.31
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you do need to apply to the host university after UL FRI nominates you. According to the information provided, the host university sends instructions on how to apply, including required documents, deadlines, and accommodation information.",0.3019,True,100,CORRECT,"The model answer correctly confirms that a separate application is needed and accurately lists the key components of the host university's instructions, such as documents and deadlines.",10.23
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

1. Application Form: personal information and exchange details.
2. Learning Agreement (LA): planned courses or academic obligations abroad and the courses or obligations that will be recognized at the home faculty after return.
3. Accommodation Form or housing information, if provided by the host institution.",0.3607,True,100,CORRECT,The model answer correctly identifies all the documents listed in the expected answer and provides helpful additional details for each component.,9.89
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is a document used to provide a transparent and efficient preparation of the study period abroad, ensuring that the student receives recognition in their degree for educational components successfully completed abroad.",0.3103,True,85,PARTIALLY_CORRECT,"The model answer correctly states the purpose of the Learning Agreement is to ensure recognition for studies abroad, but it omits the key detail that the document specifically defines the courses the student will complete.",10.74
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.8571,True,95,CORRECT,"The model answer correctly identifies all the necessary parties for approval and provides a valid equivalent for the ""home coordinator"" role.",10.45
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,The Learning Agreement should be prepared before the start of the exchange period.,0.7826,True,75,PARTIALLY_CORRECT,"The model correctly states the agreement should be prepared before the start of the exchange, but it omits the crucial detail that it must also be approved.",9.99
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,"The Online Learning Agreement (OLA) is a document that students must complete before their Erasmus exchange, which includes course descriptions and is approved by the student, FRI coordinator, and host institution coordinator. It can be submitted digitally or as a Word/PDF form if the host institution doesn't support digital signing.",0.3077,True,100,CORRECT,"The model answer correctly defines OLA and its purpose, and provides additional helpful details about its contents, the approval process, and alternative submission methods.",8.19
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host institution does not support the Online Learning Agreement (OLA), you can use a Word/PDF Learning Agreement form instead.",0.5581,True,75,PARTIALLY_CORRECT,The model provides one correct alternative (the Word/PDF form) but omits the second option mentioned in the expected answer (the FRI platform).,8.87
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.","When choosing courses in the Learning Agreement, you should include all the educational components to be carried out by the student at the Receiving Institution in Table A.",0.2745,True,60,PARTIALLY_CORRECT,"The model answer is too general, as it only mentions including the educational components. It omits the specific details required, such as ECTS credits, semester information, and links to the course descriptions.",10.21
Q11,How many ECTS do I need for one semester of Erasmus+ study exchange?,"For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.",At least 20 ECTS credits abroad.,0.3333,True,75,PARTIALLY_CORRECT,The model correctly states the minimum of 20 ECTS credits but omits the important conditions that these credits must be recognized by the home institution to meet the funding requirement.,10.04
Q12,How many ECTS do I need for a full-year Erasmus+ study exchange?,"For a full academic year exchange, the student must complete at least 40 ECTS credits abroad and have them recognized at the home institution.","For a full academic year exchange, you must complete at least 40 ECTS credits abroad and have them recognized at your home institution.",0.9091,True,100,CORRECT,"The model answer correctly provides all the key information from the expected answer, including the 40 ECTS credit minimum and the recognition requirement.",9.62
Q13,What happens if I obtain fewer than 20 ECTS during one semester abroad?,"If the student obtains fewer than 20 ECTS during the exchange, Erasmus+ financial support may be limited to 3 months. Recognition of completed obligations depends on the content and how it matches the student’s study programme at FRI.","If you obtain fewer than 20 ECTS during one semester abroad, Erasmus+ financial support is limited to 3 months.",0.4815,True,65,PARTIALLY_CORRECT,The model correctly identifies the consequence for financial support but omits the crucial information regarding the recognition of completed obligations.,13.21
Q14,Can I take language courses during Erasmus+?,"Yes. According to the UL FRI guidance, language courses may be included as general elective courses, if accepted through the Learning Agreement process.","Yes, you can take language courses during Erasmus+. According to the guidelines, if you have level B2 or higher at the first language assessment in your main language of instruction, you have the opportunity to follow an OLS language course either in that language or in the local language of the country, provided it's available in the OLS.",0.1967,True,30,INCORRECT,"The model's answer is on-topic but discusses the supplementary Online Linguistic Support (OLS) platform, not the process of taking language courses for academic credit at the host university, which is the focus of the expected answer.",11.16
Q15,Can I complete mandatory FRI courses remotely while I am on Erasmus+?,No. Mandatory FRI courses that the student should complete at FRI cannot be completed remotely during the Erasmus+ exchange.,"According to the provided information, there's no specific mention about completing mandatory FRI courses remotely during Erasmus+. However, it does mention that both the physical and virtual components must be recorded in the Erasmus+ Grant Agreement and in the Certificate of Attendance issued by the host institution after mobility. This suggests that virtual components might be considered as part of the mobility, but it doesn't explicitly state if remote course completion is allowed. To clarify, please check the UL FRI website or contact the International Office directly.",0.2093,True,30,INCORRECT,"The model fails to provide the direct negative answer, which is the key piece of information. Instead, it claims the information is unavailable and provides irrelevant details.",13.01
Q16,Can I take an elective course abroad?,"Yes. For FRI elective courses, the student can usually choose a course abroad from the field of computer and information science, subject to coordinator approval through the Learning Agreement.","Yes, according to the COURSE SELECTION RULES, you can take an elective course abroad, specifically stating that it can be any CS-related subject.",0.2083,True,70,PARTIALLY_CORRECT,"The model correctly confirms that a CS-related elective can be taken abroad, but it omits the critical information that this is subject to coordinator approval via a Learning Agreement.",10.18
Q17,Can I replace a mandatory FRI course with a course abroad?,"Yes, but only if the course abroad is sufficiently equivalent in content. If no equivalent course exists, another elective may be chosen instead, depending on approval.","According to the course selection rules, you cannot complete mandatory FRI courses remotely during exchange. However, regarding replacing a mandatory FRI course with a course abroad, I would recommend confirming this through the Learning Agreement process and getting approval from the UL FRI coordinator. This ensures that the replacement course meets the necessary requirements.",0.0615,True,75,PARTIALLY_CORRECT,The model correctly identifies the necessary approval process but does not directly answer the question or mention the key condition of content equivalency. It also omits the alternative of choosing another elective if no equivalent course is available.,10.65
Q18,Can I do my bachelor’s or master’s thesis abroad?,"Yes, but not at all institutions. The student needs a mentor at FRI and a mentor at the host institution, and the thesis work must be included in the Learning Agreement.","Yes, it's possible to do both your bachelor's and master's thesis abroad, but there are some requirements that need to be met. For both cases:

* You need to have a mentor at FRI (University of Ljubljana) and a mentor at the host institution.
* The thesis must be included in your Learning Agreement.

Additionally, note that for bachelor's thesis, the ECTS required is 6, while for master's thesis, it's 24 ECTS.",0.4324,True,100,CORRECT,The model's answer contains all the key information from the expected answer. It also provides additional helpful context about the ECTS points required for each thesis.,10.64
Q19,How many ECTS does thesis work count for in the Erasmus+ context?,"In the UL FRI guidance, bachelor thesis work is listed as 6 ECTS and master thesis work as 24 ECTS.","According to the guidelines for online learning agreements, if a student goes abroad to do thesis research or doctoral work, the associated workload in ECTS credits should be included in Table B, if relevant for the sending institution. However, there's no specific number mentioned in the given context about how many ECTS thesis work counts for.",0.1587,True,30,INCORRECT,"The model fails to provide the specific ECTS values for bachelor's and master's theses. Instead, it gives general procedural information that does not answer the user's question.",11.8
Q20,What is the Erasmus+ financial support application?,It is the University of Ljubljana online application through which selected students apply for Erasmus+ financial support and access or complete the Online Learning Agreement.,"The Erasmus+ financial support application is an online application available at https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp, which is also used to access or complete the Online Learning Agreement (OLA) for students selected for Erasmus+ study exchange.",0.6122,True,100,CORRECT,"The model answer correctly identifies the purpose of the application and also provides the direct link, which is a helpful addition.",9.08
Q21,Where do I apply for Erasmus+ financial support?,Students apply through the University of Ljubljana online financial support application at: https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp,"According to the given information, you should submit the online financial support application at least 10 working days before the start of mobility. However, it does not specify the exact platform or portal where to apply. It's recommended to contact the relevant Erasmus+ National Agency or the sending and receiving institutions for more detailed guidance on how to proceed with the application.",0.1846,True,25,INCORRECT,The model completely fails to answer the user's question about where to apply. It instead provides information about the deadline and then states it does not have the required information.,11.6
Q22,When must my Erasmus+ financial support application be complete?,"The application must be complete at least 10 working days before the start of mobility, although final deadlines also apply depending on the exchange semester.",Your Erasmus+ financial support application must be complete at least 10 working days before the start of mobility.,0.6341,True,80,PARTIALLY_CORRECT,The model correctly provides the primary deadline but omits the important detail that final deadlines also apply depending on the exchange semester.,10.41
Q23,What are the final deadlines for Erasmus+ financial support in 2026/27?,"For students going in the first semester or for the full academic year, the final deadline is 15 October 2026. For students going in the second semester, the final deadline is 15 March 2027. However, the application must still be complete at least 10 working days before mobility starts, so many students have an earlier practical deadline.","The final deadlines for Erasmus+ financial support in 2026/27 are:

* First semester or full academic year exchange: 15 October 2026.
* Second semester exchange: 15 March 2027.",0.4545,True,85,PARTIALLY_CORRECT,"The model correctly provides the two main deadlines for the different semesters, but it omits the crucial detail that applications must be complete 10 working days before mobility starts, which can create an earlier practical deadline.",9.35
Q24,"If my exchange starts on 1 September 2026, is 15 October still my deadline?","No. If the exchange starts on 1 September 2026, the application must be completed earlier, for example by 15 August 2026, because the complete application is required before the start of mobility.","No, your deadline would be earlier than 15 October 2026. Since your exchange starts on 1 September 2026, you should submit your application at least 10 working days before this date.",0.3571,True,100,CORRECT,"The model correctly answers the question, stating that the deadline would be earlier and providing a valid, specific timeframe based on the start of the exchange.",11.15
Q25,What documents do I need for the Erasmus+ financial support application?,"The required documents include a Letter of Acceptance, Learning Agreement, copy or photo of a Slovenian bank card, certificate of enrollment for 2026/27, and supporting documents for additional grants if applicable. OLS language assessment results may also be uploaded if completed.","According to the provided sources, it's not explicitly mentioned what specific documents are needed for the Erasmus+ financial support application. However, since the application should be submitted electronically to erasmus@fri.uni-lj.si, it would be best to check with the university or the International Office directly for the most up-to-date and detailed information about the required documents.",0.175,False,20,INCORRECT,The model failed to provide any of the required documents and incorrectly stated that the information was not available. It gave generic advice instead of answering the user's specific question.,11.59
Q26,Can an email from the host university count as a Letter of Acceptance?,"Yes. The Letter of Acceptance may be an official letter, an email confirming acceptance, or a fully signed Learning Agreement, depending on the instructions.","Yes, an email from the host university can count as a Letter of Acceptance. According to the provided information, it's mentioned that ""This may be an official acceptance letter, an email confirming acceptance, or a Learning Agreement signed by all parties."" So, an email would be considered valid as a Letter of Acceptance.",0.5161,True,100,CORRECT,The model correctly answers the question and provides the same examples of acceptable documents as the expected answer.,9.26
Q27,What if I cannot get the host coordinator’s signature on the Learning Agreement before the application deadline?,The student may temporarily upload a Learning Agreement signed only by the student and the home coordinator. The fully signed Learning Agreement must then be uploaded within 15 days after the start of mobility.,"If you cannot get the host institution coordinator's signature on the Learning Agreement before the application deadline, you can temporarily upload a Learning Agreement signed only by the student and home coordinator. Then, you must upload the fully signed Learning Agreement within 15 days after the start of mobility.",0.7097,True,100,CORRECT,"The model answer perfectly matches the expected answer, accurately conveying the two-step process for submitting the Learning Agreement in this scenario.",7.32
Q28,Can Erasmus+ payments be made to any bank account?,No. Payments can only be made to bank accounts opened in the Republic of Slovenia.,"No, payments can only be made to bank accounts opened in the Republic of Slovenia.",0.9333,True,100,CORRECT,"The model's answer is a verbatim match to the expected answer, correctly stating the restriction on bank accounts.",7.03
Q29,What happens after I submit the complete Erasmus+ financial support application?,"After the application is complete and all required documents are uploaded, the student receives the Erasmus+ Grant Agreement by email with signing instructions.","After submitting the complete Erasmus+ financial support application, the Erasmus+ Grant Agreement will be prepared, signed, and processed before your departure.",0.35,True,75,PARTIALLY_CORRECT,"The model correctly identifies that the Erasmus+ Grant Agreement is the next step, but it omits the key details that the student receives it by email and is given signing instructions.",10.34
Q30,How do I sign the Erasmus+ Grant Agreement?,The agreement normally has to be signed using a qualified digital signature and uploaded back into the Erasmus+ application at least 10 days before departure.,You must normally sign the Erasmus+ Grant Agreement using a qualified digital signature and upload it back into the Erasmus+ application at least 10 days before departure.,0.7755,True,100,CORRECT,"The model answer contains all the key information from the expected answer, including the signing method, upload location, and deadline.",8.33
Q31,What if I cannot obtain a qualified digital signature?,"Only in justified exceptional cases, the student may use the old procedure: print the agreement, sign it by hand, and send it by post to the University of Ljubljana.","If you cannot obtain a qualified digital signature, please provide a clear justification and indicate which other type of formal recognition will be applied, such as registration in the student's diploma supplement or Europass Mobility Document.",0.1356,False,10,HALLUCINATED,"The model hallucinates an incorrect alternative procedure involving formal recognition documents. It completely fails to mention the correct process, which is to print, sign, and mail the agreement by post.",12.9
