id,question,expected,model_prediction,bert_P,bert_R,bert_F1
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After you are selected for an Erasmus+ exchange, your home faculty or academy will nominate you to the partner institution abroad. This nomination may happen immediately or later.",0.7911,0.7436,0.7666
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,Your home faculty or academy nominates you to the partner institution abroad after you are selected for an Erasmus+ study exchange.,0.7988,0.8461,0.8218
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you still need to apply to the host university after UL FRI nominates you. The host institution will send you instructions on how to apply, which typically include required documents, deadlines, and accommodation information. You should carefully follow these instructions and submit all necessary documents by the host institution's deadline.",0.8287,0.8591,0.8437
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

1. Application Form: personal information and exchange details.
2. Learning Agreement (LA): planned courses or academic obligations abroad and the courses or obligations that will be recognized at the home faculty after return.
3. Accommodation Form or housing information, if provided by the host institution.",0.7599,0.8808,0.8159
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is an agreement between the student, the home university, and the host institution (in this case, the Sending Institution and the Receiving Institution) that outlines the educational components the student will complete during their study period abroad and ensures that these components will be recognized as part of their degree.",0.7802,0.8463,0.8119
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.9285,0.9222,0.9254
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,"The Learning Agreement should be prepared before the start of the mobility period. It's recommended that the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator agree on it beforehand.",0.7807,0.9008,0.8365
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,"The Online Learning Agreement (OLA) is a document that students need to complete through the Erasmus+ financial support application, especially when the host institution supports its digital signing. It's also possible to use a Word/PDF Learning Agreement form if the host institution doesn't support digital signing.",0.7872,0.8377,0.8117
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host university does not support the Online Learning Agreement (OLA), you can use a Word/PDF Learning Agreement form instead.",0.8828,0.8337,0.8575
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.","According to the guidelines, you should include course descriptions (with links) in the Learning Agreement before it is submitted.",0.7869,0.7474,0.7666
Q11,How many ECTS do I need for one semester of Erasmus+ study exchange?,"For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.",At least 20 ECTS credits abroad.,0.9034,0.7174,0.7997
Q12,How many ECTS do I need for a full-year Erasmus+ study exchange?,"For a full academic year exchange, the student must complete at least 40 ECTS credits abroad and have them recognized at the home institution.","For a full academic year exchange, you must complete at least 40 ECTS credits abroad and have them recognized at the home institution.",0.9926,0.9839,0.9882
Q13,What happens if I obtain fewer than 20 ECTS during one semester abroad?,"If the student obtains fewer than 20 ECTS during the exchange, Erasmus+ financial support may be limited to 3 months. Recognition of completed obligations depends on the content and how it matches the student’s study programme at FRI.","According to the guidelines, if you go abroad mainly to prepare a final thesis, or obtain fewer than 20 ECTS credits during the exchange, Erasmus+ financial support is limited to 3 months.",0.8427,0.8074,0.8247
Q14,Can I take language courses during Erasmus+?,"Yes. According to the UL FRI guidance, language courses may be included as general elective courses, if accepted through the Learning Agreement process.","Yes, you can take language courses during Erasmus+. According to the guidelines, if you have a language proficiency level of B2 or higher in your main language of instruction, you have the opportunity to follow an Online Language Support (OLS) language course either in that language or in the local language of the country, provided it's available in the OLS. You can find more opportunities on the OLS platform at http://erasmusplusols.eu.",0.6926,0.7696,0.7291
Q15,Can I complete mandatory FRI courses remotely while I am on Erasmus+?,No. Mandatory FRI courses that the student should complete at FRI cannot be completed remotely during the Erasmus+ exchange.,"No, according to the Course Selection Rules, you cannot complete mandatory FRI courses remotely during exchange.",0.8257,0.8098,0.8176
Q16,Can I take an elective course abroad?,"Yes. For FRI elective courses, the student can usually choose a course abroad from the field of computer and information science, subject to coordinator approval through the Learning Agreement.","Yes, according to the Course Selection Rules, you can take an elective course abroad, specifically any CS-related subject.",0.8311,0.7971,0.8137
Q17,Can I replace a mandatory FRI course with a course abroad?,"Yes, but only if the course abroad is sufficiently equivalent in content. If no equivalent course exists, another elective may be chosen instead, depending on approval.","According to our guidelines, cannot complete mandatory FRI courses remotely during exchange. Therefore, replacing a mandatory FRI course with a course abroad is not possible. This must be confirmed through the Learning Agreement process and approved by the UL FRI coordinator.",0.7234,0.7475,0.7353
Q18,Can I do my bachelor’s or master’s thesis abroad?,"Yes, but not at all institutions. The student needs a mentor at FRI and a mentor at the host institution, and the thesis work must be included in the Learning Agreement.","Yes, it's possible to do both your bachelor's and master's thesis abroad, but there are some conditions. You'll need to have a mentor at FRI (University of Ljubljana) and a mentor at the host institution, and the thesis must be included in your Learning Agreement. Additionally, the ECTS requirements for thesis vary depending on your study level: 6 ECTS for a bachelor thesis and 24 ECTS for a master thesis.",0.7729,0.8757,0.8211
Q19,How many ECTS does thesis work count for in the Erasmus+ context?,"In the UL FRI guidance, bachelor thesis work is listed as 6 ECTS and master thesis work as 24 ECTS.","According to the guidelines for online learning agreements, the ECTS for thesis work can vary:

- For a bachelor's thesis, it counts as 6 ECTS.
- For a master's thesis, it counts as 24 ECTS.",0.7977,0.8335,0.8152
Q20,What is the Erasmus+ financial support application?,It is the University of Ljubljana online application through which selected students apply for Erasmus+ financial support and access or complete the Online Learning Agreement.,"The Erasmus+ financial support application is used by students selected for Erasmus+ study exchange to apply for financial support through the University of Ljubljana's online application system, which can be accessed at https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp.",0.7149,0.8182,0.7631
Q21,Where do I apply for Erasmus+ financial support?,Students apply through the University of Ljubljana online financial support application at: https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp,"You can apply for Erasmus+ financial support through the University of Ljubljana online application:

https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp

This application is also used to access or complete the Online Learning Agreement (OLA).",0.8415,0.9416,0.8888
Q22,When must my Erasmus+ financial support application be complete?,"The application must be complete at least 10 working days before the start of mobility, although final deadlines also apply depending on the exchange semester.",Your Erasmus+ financial support application must be complete at least 10 working days before the start of mobility.,0.8893,0.8376,0.8627
Q23,What are the final deadlines for Erasmus+ financial support in 2026/27?,"For students going in the first semester or for the full academic year, the final deadline is 15 October 2026. For students going in the second semester, the final deadline is 15 March 2027. However, the application must still be complete at least 10 working days before mobility starts, so many students have an earlier practical deadline.","For the academic year 2026/27, the final deadlines for Erasmus+ financial support are:

* For first semester or full academic year exchange: 15 October 2026.
* For second semester exchange: 15 March 2027.",0.8188,0.7693,0.7933
Q24,"If my exchange starts on 1 September 2026, is 15 October still my deadline?","No. If the exchange starts on 1 September 2026, the application must be completed earlier, for example by 15 August 2026, because the complete application is required before the start of mobility.","Since your exchange starts on 1 September 2026, you should submit your application at least 10 working days before that date. Let's count back the working days: 

Assuming a standard Monday-to-Friday workweek, we have:
- 31 August (Monday): 0 working days left
- 30 August (Tuesday): 9 working days left
- 29 August (Wednesday): 8 working days left
- 28 August (Thursday): 7 working days left
- 27 August (Friday): 6 working days left
- 26 August (Saturday): no working day
- 25 August (Sunday): no working day
- 24 August (Monday): 5 working days left
- 23 August (Tuesday): 4 working days left
- 22 August (Wednesday): 3 working days left
- 21 August (Thursday): 2 working days left
- 20 August (Friday): 1 working day left
- 19 August (Saturday): no working day
- 18 August (Sunday): no working day
- 17 August (Monday): 0 working days left

So, considering the 10-working-day rule, your application deadline would be 17 August 2026.",0.5507,0.7953,0.6508
Q25,What documents do I need for the Erasmus+ financial support application?,"The required documents include a Letter of Acceptance, Learning Agreement, copy or photo of a Slovenian bank card, certificate of enrollment for 2026/27, and supporting documents for additional grants if applicable. OLS language assessment results may also be uploaded if completed.","For the Erasmus+ financial support application, you will need to submit an online application through the University of Ljubljana's portal: https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp 

However, it is recommended to check the specific requirements for the current academic year (2026-27) as mentioned in the source 'data/erasmus_financial_support_2026_27.txt'.",0.6523,0.7073,0.6787
Q26,Can an email from the host university count as a Letter of Acceptance?,"Yes. The Letter of Acceptance may be an official letter, an email confirming acceptance, or a fully signed Learning Agreement, depending on the instructions.","Yes, an email from the host university can count as a Letter of Acceptance. According to the text, it's mentioned that ""This may be an official acceptance letter, an email confirming acceptance, or a Learning Agreement signed by all parties.""",0.82,0.8739,0.8461
