id,question,expected,model_prediction,bert_P,bert_R,bert_F1
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After you are selected for an Erasmus+ exchange, your home faculty or academy will nominate you to the partner institution abroad. This nomination may happen either immediately or later.",0.6652,0.577,0.618
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,Your home faculty or academy nominates you to the Erasmus+ partner institution abroad.,0.7575,0.7435,0.7505
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you do need to apply to the host university after UL FRI nominates you. According to the information provided, the host university sends instructions on how to apply, including required documents, deadlines, and accommodation information.",0.6497,0.6948,0.6715
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

1. Application Form: personal information and exchange details.
2. Learning Agreement (LA): planned courses or academic obligations abroad and the courses or obligations that will be recognized at the home faculty after return.
3. Accommodation Form or housing information, if provided by the host institution.",0.5894,0.7621,0.6647
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is a document used to provide a transparent and efficient preparation of the study period abroad, ensuring that the student receives recognition in their degree for educational components successfully completed abroad.",0.6615,0.6664,0.664
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.9378,0.9129,0.9251
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,The Learning Agreement should be prepared before the start of the exchange period.,0.894,0.8846,0.8893
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,"The Online Learning Agreement (OLA) is a document that students must complete before their Erasmus exchange, which includes course descriptions and is approved by the student, FRI coordinator, and host institution coordinator. It can be submitted digitally or as a Word/PDF form if the host institution doesn't support digital signing.",0.5671,0.6828,0.6196
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host institution does not support the Online Learning Agreement (OLA), you can use a Word/PDF Learning Agreement form instead.",0.8377,0.7358,0.7835
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.","When choosing courses in the Learning Agreement, you should include all the educational components to be carried out by the student at the Receiving Institution in Table A.",0.6072,0.5694,0.5877
