id,question,expected,model_prediction,bert_P,bert_R,bert_F1
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After a student is selected for an Erasmus+ study exchange, the home faculty or academy nominates the student to the partner institution abroad. Some students may be nominated immediately, while others may be nominated later.",0.6638,0.5713,0.6141
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,The home faculty or academy nominates you to the partner institution abroad.,0.6017,0.5276,0.5622
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you need to apply to the host university. The host university will send you instructions, including required documents and deadlines. You must carefully follow their instructions and submit all necessary documents by their deadline.",0.6884,0.6814,0.6849
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

- Application Form: personal information and exchange details.
- Learning Agreement (LA): planned courses or academic obligations abroad and the courses or obligations that will be recognized at the home faculty after return.
- Accommodation Form or housing information, if provided by the host institution.",0.5157,0.6905,0.5904
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is an agreement between the student, the home university, and the host institution. It defines which courses the student intends to take during the exchange and is used for later recognition at the home institution. Its purpose is to provide a transparent and efficient preparation of the study period abroad and to ensure that the student will receive recognition in his/her degree for the educational components successfully completed abroad.",0.5616,0.6865,0.6178
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.9012,0.883,0.892
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,"The Learning Agreement should be prepared during the first month after the start of the mobility. However, if the host institution coordinator can’t sign it beforehand, you can upload a version signed only by the student and home coordinator within 15 days of the start of mobility.",0.5141,0.7705,0.6167
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,"ONLINE LEARNING AGREEMENT (OLA) refers to a system where students complete the Learning Agreement online through the Erasmus+ financial support application. If the host institution supports OLA, they will send the OLA to the correct address abroad. If not, a Word/PDF Learning Agreement form can be used instead.",0.5326,0.6488,0.585
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host institution does not support digital signing of the OLA, you may use a Word/PDF Learning Agreement form instead.",0.8541,0.7132,0.7773
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.","The Learning Agreement should include information concerning the qualifications offered, the learning, teaching, and assessment procedures, the level of programs, the individual educational components, and the learning resources. It needs to be aligned with the course catalogue and available to you. Also, remember to check course availability beforehand and confirm suitability with your home coordinator.",0.4982,0.5344,0.5156
Q11,How many ECTS do I need for one semester of Erasmus+ study exchange?,"For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.","For one semester of Erasmus+ study exchange, you must complete at least 20 ECTS credits abroad and have them recognized at your home institution.",0.8555,0.8115,0.8329
Q12,How many ECTS do I need for a full-year Erasmus+ study exchange?,"For a full academic year exchange, the student must complete at least 40 ECTS credits abroad and have them recognized at the home institution.","For a full academic year exchange, you must complete at least 40 ECTS credits abroad and have them recognized at the home institution.",0.9729,0.9549,0.9638
Q13,What happens if I obtain fewer than 20 ECTS during one semester abroad?,"If the student obtains fewer than 20 ECTS during the exchange, Erasmus+ financial support may be limited to 3 months. Recognition of completed obligations depends on the content and how it matches the student’s study programme at FRI.","If a student goes abroad mainly to prepare a final thesis, or obtains fewer than 20 ECTS credits during the exchange, Erasmus+ financial support is limited to 3 months.",0.7622,0.6791,0.7182
Q14,Can I take language courses during Erasmus+?,"Yes. According to the UL FRI guidance, language courses may be included as general elective courses, if accepted through the Learning Agreement process.","Yes, you are encouraged to use the Online Language Support (OLS) designed for Erasmus+ participants. Level B2 or higher is required for the OLS language course, which can be taken in your main language of instruction or the local language of the country if available. More details can be found at http://erasmusplusols.eu.",0.4279,0.5343,0.4752
Q15,Can I complete mandatory FRI courses remotely while I am on Erasmus+?,No. Mandatory FRI courses that the student should complete at FRI cannot be completed remotely during the Erasmus+ exchange.,"No, mandatory courses must match content, and they cannot be completed remotely during the exchange.",0.6385,0.5504,0.5912
Q16,Can I take an elective course abroad?,"Yes. For FRI elective courses, the student can usually choose a course abroad from the field of computer and information science, subject to coordinator approval through the Learning Agreement.","Yes, you can take an elective course as long as it’s related to computer science.",0.6068,0.5152,0.5573
Q17,Can I replace a mandatory FRI course with a course abroad?,"Yes, but only if the course abroad is sufficiently equivalent in content. If no equivalent course exists, another elective may be chosen instead, depending on approval.","No, mandatory courses must match content. If you want to replace a mandatory FRI course, it must be confirmed through the Learning Agreement process and approved by the UL FRI coordinator.",0.4671,0.4962,0.4812
Q18,Can I do my bachelor’s or master’s thesis abroad?,"Yes, but not at all institutions. The student needs a mentor at FRI and a mentor at the host institution, and the thesis work must be included in the Learning Agreement.","Possible but not at all institutions. It requires a mentor at FRI and a mentor at the host institution, and it must be included in your Learning Agreement. A final thesis abroad grants 6 ECTS for a bachelor’s thesis and 24 ECTS for a master’s thesis.",0.6763,0.849,0.7529
Q19,How many ECTS does thesis work count for in the Erasmus+ context?,"In the UL FRI guidance, bachelor thesis work is listed as 6 ECTS and master thesis work as 24 ECTS.","According to the guidelines, a bachelor thesis counts for 6 ECTS, and a master thesis counts for 24 ECTS.",0.7208,0.6823,0.701
Q20,What is the Erasmus+ financial support application?,It is the University of Ljubljana online application through which selected students apply for Erasmus+ financial support and access or complete the Online Learning Agreement.,The Erasmus+ financial support application is an online application available at https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp. It’s also used to complete the Online Learning Agreement (OLA). The deadline for the first semester or full academic year exchange is 15 October 2026.,0.4305,0.6197,0.5081
Q21,Where do I apply for Erasmus+ financial support?,Students apply through the University of Ljubljana online financial support application at: https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp,The application is available through the University of Ljubljana online application: https://studij.uni-lj.si/finpomoc/finpomoc_prva.asp.,0.9051,0.8994,0.9023
Q22,When must my Erasmus+ financial support application be complete?,"The application must be complete at least 10 working days before the start of mobility, although final deadlines also apply depending on the exchange semester.",The online financial support application must be complete at least 10 working days before the start of mobility.,0.8157,0.6731,0.7375
Q23,What are the final deadlines for Erasmus+ financial support in 2026/27?,"For students going in the first semester or for the full academic year, the final deadline is 15 October 2026. For students going in the second semester, the final deadline is 15 March 2027. However, the application must still be complete at least 10 working days before mobility starts, so many students have an earlier practical deadline.","Final application deadlines:
- First semester or full academic year exchange: 15 October 2026.
- Second semester exchange: 15 March 2027.",0.6942,0.5319,0.6024
Q24,"If my exchange starts on 1 September 2026, is 15 October still my deadline?","No. If the exchange starts on 1 September 2026, the application must be completed earlier, for example by 15 August 2026, because the complete application is required before the start of mobility.","Yes, 15 August 2026 is the deadline for your application. Remember that the complete application must be submitted at least 10 working days before the start of mobility. For early information, you may contact erika.bolcina@uni-lj.si.",0.4968,0.639,0.559
