id,question,expected,model_prediction,f1,has_key_info,gemini_score,gemini_assessment,gemini_explanation,time_s
Q1,What happens after I am selected for an Erasmus+ exchange?,"After selection, UL FRI nominates the student to the selected partner institution abroad. The host institution then sends application instructions, deadlines, required forms, and practical information. The student must also apply for Erasmus+ financial support through the University of Ljubljana online system.","After a student is selected for an Erasmus+ study exchange, the home faculty or academy nominates the student to the partner institution abroad. Some students may be nominated immediately, while others may be nominated later.",0.3385,True,65,PARTIALLY_CORRECT,"The model correctly states that the home institution nominates the student, but it omits the crucial next steps of receiving application instructions from the host institution and applying for financial support.",11.72
Q2,Who nominates me to the Erasmus+ partner university?,UL FRI nominates the selected student to the chosen Erasmus+ partner institution.,The home faculty or academy nominates you to the partner institution abroad.,0.3636,True,100,CORRECT,"The model's answer is a correct, generalized version of the expected answer, accurately stating that the home faculty handles the nomination.",10.79
Q3,Do I still need to apply to the host university after UL FRI nominates me?,"Yes. After nomination, the host university usually sends its own application instructions. The student must follow the host university’s procedure, submit required documents, and respect the host institution’s deadline.","Yes, you need to apply to the host university. The host university will send you instructions, including required documents and deadlines. You must carefully follow their instructions and submit all necessary documents by their deadline.",0.3529,True,100,CORRECT,"The model answer correctly confirms that a separate application is necessary and accurately includes all key information from the expected answer, such as following the host university's instructions and respecting their deadlines.",9.4
Q4,What documents does the host institution application usually include?,"It usually includes an application form, a Learning Agreement listing planned courses or obligations, and sometimes an accommodation form or housing information.","The host institution application usually includes:

- Application Form: personal information and exchange details.
- Learning Agreement (LA): planned courses or academic obligations abroad and the courses or obligations that will be recognized at the home faculty after return.
- Accommodation Form or housing information, if provided by the host institution.",0.3729,True,100,CORRECT,The model answer correctly identifies all the documents mentioned in the expected answer and provides helpful additional details for each component.,9.66
Q5,What is the Learning Agreement?,The Learning Agreement is a document that defines which courses or academic obligations the student will complete abroad and how they will be recognized at the home faculty after return.,"The Learning Agreement is an agreement between the student, the home university, and the host institution. It defines which courses the student intends to take during the exchange and is used for later recognition at the home institution. Its purpose is to provide a transparent and efficient preparation of the study period abroad and to ensure that the student will receive recognition in his/her degree for the educational components successfully completed abroad.",0.3896,True,100,CORRECT,"The model answer correctly defines the Learning Agreement, including the courses to be taken and their recognition, and adds useful context about the parties involved.",8.91
Q6,Who has to approve the Learning Agreement?,"The Learning Agreement must usually be approved by the student, the home Erasmus+ or FRI coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to approve it.","The Learning Agreement must be approved by the student, the departmental or faculty Erasmus+ coordinator, and the host institution coordinator. In some cases, the institutional coordinator may also need to sign.",0.8571,True,100,CORRECT,"The model answer correctly identifies all the parties who need to approve the agreement and provides a valid equivalent for the ""home coordinator"". It accurately conveys all the information present in the expected answer.",9.97
Q7,When should the Learning Agreement be prepared?,The Learning Agreement should be prepared and approved before the start of mobility.,"The Learning Agreement should be prepared during the first month after the start of the mobility. However, if the host institution coordinator can’t sign it beforehand, you can upload a version signed only by the student and home coordinator within 15 days of the start of mobility.",0.4167,True,0,HALLUCINATED,"The model answer directly contradicts the expected answer, stating the agreement should be prepared after mobility starts. The correct procedure is for the agreement to be prepared and approved before the start of mobility.",11.13
Q8,What is OLA?,OLA stands for Online Learning Agreement. It is the digital version of the Learning Agreement used for Erasmus+ study mobility when the host institution supports digital signing.,"ONLINE LEARNING AGREEMENT (OLA) refers to a system where students complete the Learning Agreement online through the Erasmus+ financial support application. If the host institution supports OLA, they will send the OLA to the correct address abroad. If not, a Word/PDF Learning Agreement form can be used instead.",0.3448,True,100,CORRECT,"The model answer correctly defines OLA and its context within the Erasmus+ program, providing all the key information and useful additional details about the process.",11.6
Q9,What should I do if the host university does not support OLA?,"If the host institution does not support digital signing through OLA, the student may use the alternative Word/PDF Learning Agreement form or the FRI platform, depending on the instructions.","If the host institution does not support digital signing of the OLA, you may use a Word/PDF Learning Agreement form instead.",0.7111,True,70,PARTIALLY_CORRECT,The model correctly identifies the Word/PDF form as an alternative but fails to mention the other option of using the FRI platform.,10.47
Q10,What information should I include when choosing courses in the Learning Agreement?,"The student should include the selected courses or academic obligations at the host institution, ECTS credits, semester information, and links to course descriptions or course catalogues so the coordinator can evaluate recognition.","The Learning Agreement should include information concerning the qualifications offered, the learning, teaching, and assessment procedures, the level of programs, the individual educational components, and the learning resources. It needs to be aligned with the course catalogue and available to you. Also, remember to check course availability beforehand and confirm suitability with your home coordinator.",0.1765,True,30,INCORRECT,"The model answer does not list the specific information a student needs to include, such as course names and ECTS credits. Instead, it provides general advice and describes high-level institutional information that is not what the student actually writes in the document.",11.75
Q11,How many ECTS do I need for one semester of Erasmus+ study exchange?,"For one semester, the student must complete at least 20 ECTS credits abroad and have them recognized at the home institution to meet the Erasmus+ funding requirement.","For one semester of Erasmus+ study exchange, you must complete at least 20 ECTS credits abroad and have them recognized at your home institution.",0.6809,True,95,CORRECT,"The model answer correctly identifies the minimum number of ECTS credits and the recognition requirement, omitting only the minor context that this is a funding requirement.",13.84
