id,question,expected,avg_F1,sd_F1,min_F1,max_F1,observations
Q100,Where can I go on Erasmus+ exchange as an undergraduate student?,"Undergraduate students can apply to partner institutions such as TU Graz, VUB Brussels, Charles University MFF, CTU Prague, University of Tartu, University of Tampere, TU Berlin, University of Bremen, TU Dresden, University of Freiburg, Reykjavík University, University of Coimbra, University of Porto, University of Zagreb FER, Warsaw University of Technology, Kaunas University of Technology, Vilnius University, University of Belgrade, University of Novi Sad, Babeș-Bolyai University, Malmö University, and many other UL FRI Erasmus+ partner universities that support Bachelor-level mobility.",0.5067142857142857,0.12354051061888628,0.334,0.7839,70
Q35,What is the monthly Erasmus+ grant for Group 2 countries in 2026/27?,"The monthly grant for Group 2 medium-cost countries is 606 EUR. This group includes Cyprus, Czech Republic, Estonia, Greece, Latvia, Malta, Portugal, Slovakia, and Spain.",0.5332942857142857,0.13122233139496023,0.344,0.8417,70
Q101,Where can I go on Erasmus+ exchange as a master’s student?,"Master’s students can apply to institutions such as TU Berlin, TU Graz, NTNU, University of Tartu, Charles University MFF, Reykjavík University, University of Padova, VUB Brussels, Darmstadt University of Technology, University of Freiburg, University of Coimbra, University of Porto, University of Zagreb FER, Sapienza University of Rome, University of Pavia, and many other UL FRI partner institutions supporting Master-level mobility.",0.5428385714285714,0.11858311497574137,0.3554,0.8087,70
Q114,How hard is it to be admitted to an Erasmus+ exchange programme?,"Admission difficulty depends on the number of available places, the popularity of the destination university, academic performance, motivation, language requirements, and whether the selected courses are compatible with the student’s study programme. Some universities only accept 1–2 students per year, making them more competitive.",0.5520614285714286,0.12455655288861693,0.3545,0.8344,70
Q210,What is the cheapest way to travel between Erasmus+ destinations in Europe?,"Travel costs depend on the destination, season, and booking time. Students often compare trains, buses, low-cost airlines, and shared transport options before choosing the most affordable route.",0.5552985714285714,0.12114323836198268,0.3564,0.8334,70
Q134,Which Erasmus+ partner university is best for game development?,"Students interested in game development should compare available computer graphics, software engineering, multimedia, and game technology courses at different partner universities before applying.",0.5564442857142856,0.12913377025026263,0.304,0.8338,70
Q203,What is the difference between Erasmus+ study mobility and Erasmus+ traineeship mobility?,"Study mobility focuses on completing courses or academic obligations at a partner university, while traineeship mobility focuses on practical work experience or internship placement abroad.",0.5568914285714286,0.12527699829688382,0.326,0.8311,70
Q127,Which Erasmus destination has the best student social life?,"Student experience depends on personal preferences, local culture, Erasmus community activity, accommodation type, and city size. Popular Erasmus cities usually have active international student communities and events.",0.5629971428571429,0.1257382500592016,0.3606,0.8345,70
Q206,What is usually the biggest challenge for Erasmus+ students abroad?,"Common challenges include finding accommodation, adapting to a new academic system, language barriers, administrative procedures, and managing living costs.",0.5662157142857143,0.1318525160221315,0.3169,0.8535,70
Q130,What are my chances of being accepted for Erasmus+ mobility?,"Acceptance depends on factors such as available places, demand for specific destinations, academic performance, motivation, and whether your proposed study plan is realistic and compatible with your programme.",0.5667885714285714,0.128729094875614,0.3191,0.8416,70
Q110,"I want to find an Erasmus+ exchange at a university focused on data science, analytics, or big data. Which institutions should I check?","Relevant partner institutions include VUB Brussels, University of Tartu, TU Berlin, Charles University MFF, University of Freiburg, University of Coimbra, and Reykjavík University.",0.5674899999999999,0.11642076630089222,0.3302,0.8293,70
Q135,Can Erasmus+ mobility help me later move permanently to another country?,"Erasmus+ can provide international experience, language skills, academic contacts, and professional connections, but permanent relocation depends on immigration laws, employment opportunities, and residence regulations.",0.5691928571428572,0.12499120238191902,0.3387,0.8432,70
Q123,Which Erasmus+ destination is considered academically the easiest?,"Academic difficulty is highly subjective and depends on the student’s background, chosen courses, language skills, and study habits. Experiences can vary significantly even within the same university.",0.5696628571428571,0.12223614372311543,0.3648,0.8452,70
Q107,I want to find an Erasmus+ exchange at a university focused on artificial intelligence and machine learning. Which institutions should I check?,"Relevant partner institutions include Charles University MFF, University of Tartu, Reykjavík University, TU Berlin, TU Graz, VUB Brussels, University of Freiburg, and NTNU.",0.57055,0.11354615067598428,0.3743,0.8306,70
Q205,Is Erasmus+ only available for students in the European Union?,"No. Erasmus+ includes partner countries and participants with different citizenships, although visa rules, residence rights, and eligibility conditions may differ depending on nationality and programme rules.",0.5716871428571428,0.13219838509113466,0.311,0.8803,70
Q111,I want to find an Erasmus+ exchange at a university focused on theoretical computer science or algorithms. Which institutions should I check?,"Relevant partner institutions include Charles University MFF, TU Berlin, University of Tartu, University of Freiburg, CTU Prague, and NTNU.",0.5728057142857144,0.11443434657924444,0.3809,0.8326,70
Q117,Which dormitory is the best for Erasmus students in Prague?,"This depends on personal preferences such as price, location, social atmosphere, and commute time. Students should compare official dormitory options, student reviews, and Erasmus student groups before deciding.",0.5812757142857143,0.11953037748115226,0.3635,0.8568,70
Q34,What is the monthly Erasmus+ grant for Group 1 countries in 2026/27?,"The monthly grant for Group 1 high-cost countries is 674 EUR. This group includes Austria, Belgium, Denmark, Finland, France, Germany, Iceland, Ireland, Italy, Liechtenstein, Luxembourg, the Netherlands, Norway, and Sweden.",0.5840371428571429,0.13010724246729338,0.3413,0.8568,70
Q174,What should I do if I do not know the exact start and end dates of my exchange?,"You should enter the most accurate possible dates and verify the actual mobility duration, because incorrect dates may lead to returning excess funds.",0.5841857142857143,0.1233237676890332,0.3536,0.8626,70
Q162,What should I do if I want to extend my Erasmus+ stay?,You should submit the extension request to your sending institution at least one month before the end of the originally planned mobility period.,0.5856142857142858,0.12177113992074784,0.3571,0.8597,70
Q66,Do Erasmus+ students have to pay tuition fees at the host university?,"No. Erasmus+ students must not be charged tuition, registration, examination, laboratory, or library access fees during the mobility period.",0.5856914285714285,0.1300965146107752,0.3402,0.8794,70
Q75,When must I submit documents after returning from Erasmus+?,"The student must submit documents as soon as they have all required documentation, no later than 3 months after the end of the exchange or before the end of the academic year in Studis.",0.59023,0.12154398184089218,0.3561,0.8588,70
Q124,Can I stay in Iceland after Erasmus+ if I find a job there?,Residence and work rights after mobility depend on your citizenship and Icelandic immigration regulations. Students should consult official immigration authorities for accurate information.,0.5913257142857143,0.11210033508555625,0.4177,0.8496,70
Q109,I want to find an Erasmus+ exchange at a university focused on software engineering and distributed systems. Which institutions should I check?,"Relevant partner institutions include University of Tartu, TU Berlin, Charles University MFF, University of Padova, University of Porto, TU Graz, and Sapienza University of Rome.",0.5921614285714286,0.10889343453526538,0.4063,0.8466,70
Q119,Which Erasmus+ partner university is ranked the highest internationally?,"University rankings change regularly and depend on the ranking system and academic field. Students should check official rankings such as QS, THE, or Shanghai Ranking if international reputation is important to them.",0.5948785714285715,0.11476947139003038,0.4039,0.8502,70
